"0.6_2 - Dataset 195308"
"Wavelength nm."	"Abs."
200,00	0,288
200,50	0,288
201,00	0,288
201,50	0,288
202,00	0,288
202,50	0,288
203,00	0,288
203,50	0,288
204,00	0,288
204,50	0,287
205,00	0,287
205,50	0,287
206,00	0,287
206,50	0,287
207,00	0,287
207,50	0,288
208,00	0,288
208,50	0,289
209,00	0,289
209,50	0,290
210,00	0,291
210,50	0,291
211,00	0,292
211,50	0,293
212,00	0,293
212,50	0,294
213,00	0,295
213,50	0,295
214,00	0,296
214,50	0,297
215,00	0,298
215,50	0,298
216,00	0,299
216,50	0,300
217,00	0,300
217,50	0,301
218,00	0,301
218,50	0,302
219,00	0,302
219,50	0,303
220,00	0,303
220,50	0,304
221,00	0,304
221,50	0,305
222,00	0,305
222,50	0,306
223,00	0,306
223,50	0,307
224,00	0,307
224,50	0,307
225,00	0,307
225,50	0,308
226,00	0,308
226,50	0,308
227,00	0,308
227,50	0,309
228,00	0,309
228,50	0,309
229,00	0,309
229,50	0,309
230,00	0,309
230,50	0,309
231,00	0,310
231,50	0,310
232,00	0,310
232,50	0,310
233,00	0,310
233,50	0,310
234,00	0,310
234,50	0,310
235,00	0,311
235,50	0,311
236,00	0,311
236,50	0,311
237,00	0,311
237,50	0,311
238,00	0,311
238,50	0,312
239,00	0,312
239,50	0,312
240,00	0,312
240,50	0,312
241,00	0,312
241,50	0,313
242,00	0,313
242,50	0,313
243,00	0,313
243,50	0,313
244,00	0,313
244,50	0,313
245,00	0,313
245,50	0,314
246,00	0,314
246,50	0,314
247,00	0,314
247,50	0,314
248,00	0,314
248,50	0,314
249,00	0,314
249,50	0,314
250,00	0,314
250,50	0,314
251,00	0,314
251,50	0,314
252,00	0,314
252,50	0,314
253,00	0,314
253,50	0,314
254,00	0,314
254,50	0,313
255,00	0,313
255,50	0,313
256,00	0,313
256,50	0,313
257,00	0,313
257,50	0,312
258,00	0,312
258,50	0,312
259,00	0,311
259,50	0,311
260,00	0,310
260,50	0,310
261,00	0,309
261,50	0,309
262,00	0,308
262,50	0,308
263,00	0,307
263,50	0,306
264,00	0,306
264,50	0,305
265,00	0,305
265,50	0,304
266,00	0,303
266,50	0,303
267,00	0,302
267,50	0,301
268,00	0,300
268,50	0,300
269,00	0,299
269,50	0,298
270,00	0,297
270,50	0,296
271,00	0,295
271,50	0,294
272,00	0,293
272,50	0,292
273,00	0,291
273,50	0,290
274,00	0,289
274,50	0,288
275,00	0,287
275,50	0,286
276,00	0,285
276,50	0,284
277,00	0,283
277,50	0,281
278,00	0,280
278,50	0,279
279,00	0,278
279,50	0,277
280,00	0,276
280,50	0,275
281,00	0,274
281,50	0,273
282,00	0,272
282,50	0,271
283,00	0,270
283,50	0,268
284,00	0,267
284,50	0,267
285,00	0,266
285,50	0,265
286,00	0,264
286,50	0,263
287,00	0,263
287,50	0,262
288,00	0,260
288,50	0,260
289,00	0,259
289,50	0,258
290,00	0,257
290,50	0,255
291,00	0,254
291,50	0,253
292,00	0,253
292,50	0,252
293,00	0,251
293,50	0,250
294,00	0,250
294,50	0,249
295,00	0,248
295,50	0,247
296,00	0,246
296,50	0,245
297,00	0,244
297,50	0,243
298,00	0,242
298,50	0,241
299,00	0,240
299,50	0,239
300,00	0,239
300,50	0,238
301,00	0,237
301,50	0,236
302,00	0,235
302,50	0,234
303,00	0,233
303,50	0,233
304,00	0,232
304,50	0,231
305,00	0,230
305,50	0,229
306,00	0,229
306,50	0,228
