"0.8 - Dataset 195425"
"Wavelength nm."	"Abs."
200,00	0,381
200,50	0,381
201,00	0,381
201,50	0,381
202,00	0,381
202,50	0,381
203,00	0,381
203,50	0,381
204,00	0,381
204,50	0,379
205,00	0,377
205,50	0,375
206,00	0,373
206,50	0,372
207,00	0,371
207,50	0,369
208,00	0,368
208,50	0,367
209,00	0,366
209,50	0,365
210,00	0,364
210,50	0,363
211,00	0,362
211,50	0,361
212,00	0,360
212,50	0,358
213,00	0,357
213,50	0,356
214,00	0,355
214,50	0,354
215,00	0,353
215,50	0,351
216,00	0,350
216,50	0,349
217,00	0,348
217,50	0,347
218,00	0,346
218,50	0,345
219,00	0,344
219,50	0,343
220,00	0,342
220,50	0,341
221,00	0,340
221,50	0,339
222,00	0,339
222,50	0,338
223,00	0,337
223,50	0,336
224,00	0,335
224,50	0,334
225,00	0,333
225,50	0,332
226,00	0,331
226,50	0,331
227,00	0,330
227,50	0,329
228,00	0,329
228,50	0,328
229,00	0,327
229,50	0,327
230,00	0,326
230,50	0,325
231,00	0,325
231,50	0,324
232,00	0,323
232,50	0,323
233,00	0,322
233,50	0,321
234,00	0,321
234,50	0,320
235,00	0,320
235,50	0,320
236,00	0,319
236,50	0,319
237,00	0,319
237,50	0,318
238,00	0,318
238,50	0,318
239,00	0,317
239,50	0,317
240,00	0,317
240,50	0,316
241,00	0,316
241,50	0,316
242,00	0,316
242,50	0,315
243,00	0,315
243,50	0,315
244,00	0,314
244,50	0,314
245,00	0,314
245,50	0,314
246,00	0,313
246,50	0,313
247,00	0,313
247,50	0,312
248,00	0,312
248,50	0,312
249,00	0,311
249,50	0,311
250,00	0,310
250,50	0,310
251,00	0,310
251,50	0,309
252,00	0,309
252,50	0,309
253,00	0,308
253,50	0,308
254,00	0,308
254,50	0,307
255,00	0,307
255,50	0,306
256,00	0,306
256,50	0,305
257,00	0,305
257,50	0,304
258,00	0,304
258,50	0,303
259,00	0,302
259,50	0,301
260,00	0,301
260,50	0,300
261,00	0,299
261,50	0,298
262,00	0,297
262,50	0,296
263,00	0,296
263,50	0,295
264,00	0,294
264,50	0,293
265,00	0,292
265,50	0,291
266,00	0,290
266,50	0,289
267,00	0,288
267,50	0,287
268,00	0,286
268,50	0,285
269,00	0,284
269,50	0,283
270,00	0,282
270,50	0,281
271,00	0,280
271,50	0,278
272,00	0,277
272,50	0,276
273,00	0,274
273,50	0,273
274,00	0,272
274,50	0,271
275,00	0,270
275,50	0,268
276,00	0,267
276,50	0,266
277,00	0,265
277,50	0,264
278,00	0,262
278,50	0,261
279,00	0,260
279,50	0,259
280,00	0,258
280,50	0,257
281,00	0,255
281,50	0,254
282,00	0,253
282,50	0,252
283,00	0,251
283,50	0,250
284,00	0,249
284,50	0,248
285,00	0,247
285,50	0,246
286,00	0,245
286,50	0,244
287,00	0,243
287,50	0,242
288,00	0,241
288,50	0,240
289,00	0,239
289,50	0,238
290,00	0,237
290,50	0,236
291,00	0,235
291,50	0,233
292,00	0,233
292,50	0,232
293,00	0,230
293,50	0,229
294,00	0,228
294,50	0,227
295,00	0,227
295,50	0,226
296,00	0,224
296,50	0,224
297,00	0,223
297,50	0,222
298,00	0,221
298,50	0,220
299,00	0,220
299,50	0,219
300,00	0,218
300,50	0,217
301,00	0,216
301,50	0,215
302,00	0,214
302,50	0,214
303,00	0,213
303,50	0,212
304,00	0,211
304,50	0,211
305,00	0,210
305,50	0,210
306,00	0,209
306,50	0,208
307,00	0,207
307,50	0,207
308,00	0,206
308,50	0,205
309,00	0,204
309,50	0,204
310,00	0,203
310,50	0,202
311,00	0,202
311,50	0,201
312,00	0,201
312,50	0,200
313,00	0,199
313,50	0,199
314,00	0,198
314,50	0,197
315,00	0,197
315,50	0,196
316,00	0,196
316,50	0,195
317,00	0,194
317,50	0,194
318,00	0,193
318,50	0,193
319,00	0,192
319,50	0,192
320,00	0,191
320,50	0,191
321,00	0,190
321,50	0,190
322,00	0,189
322,50	0,189
323,00	0,188
323,50	0,188
324,00	0,188
324,50	0,187
325,00	0,187
325,50	0,186
326,00	0,185
326,50	0,185
327,00	0,184
327,50	0,184
328,00	0,184
328,50	0,183
329,00	0,183
329,50	0,182
330,00	0,182
330,50	0,182
331,00	0,182
331,50	0,181
332,00	0,181
332,50	0,181
333,00	0,180
333,50	0,180
334,00	0,179
334,50	0,179
335,00	0,179
335,50	0,178
336,00	0,178
336,50	0,178
337,00	0,177
337,50	0,177
338,00	0,177
338,50	0,177
339,00	0,177
339,50	0,176
340,00	0,176
340,50	0,176
341,00	0,176
341,50	0,176
342,00	0,176
342,50	0,176
343,00	0,175
343,50	0,175
344,00	0,175
344,50	0,175
345,00	0,175
345,50	0,175
346,00	0,175
346,50	0,174
347,00	0,174
347,50	0,174
348,00	0,174
348,50	0,174
349,00	0,174
349,50	0,174
350,00	0,173
350,50	0,173
351,00	0,173
351,50	0,173
352,00	0,173
352,50	0,173
353,00	0,173
353,50	0,173
354,00	0,173
354,50	0,173
355,00	0,173
355,50	0,173
356,00	0,173
356,50	0,173
357,00	0,173
357,50	0,173
358,00	0,172
358,50	0,172
359,00	0,172
359,50	0,172
360,00	0,172
360,50	0,172
361,00	0,172
361,50	0,171
362,00	0,171
362,50	0,171
363,00	0,171
363,50	0,171
364,00	0,170
364,50	0,170
365,00	0,170
365,50	0,170
366,00	0,170
366,50	0,170
367,00	0,170
367,50	0,170
368,00	0,169
368,50	0,169
369,00	0,169
369,50	0,169
370,00	0,169
370,50	0,168
371,00	0,168
371,50	0,168
372,00	0,168
372,50	0,168
373,00	0,167
373,50	0,167
374,00	0,167
374,50	0,167
375,00	0,167
375,50	0,167
376,00	0,166
376,50	0,166
377,00	0,166
377,50	0,166
378,00	0,166
378,50	0,165
379,00	0,165
379,50	0,165
380,00	0,165
380,50	0,165
381,00	0,164
381,50	0,164
382,00	0,164
382,50	0,164
383,00	0,164
383,50	0,164
384,00	0,163
384,50	0,163
385,00	0,163
385,50	0,163
386,00	0,162
386,50	0,162
387,00	0,162
387,50	0,162
388,00	0,162
388,50	0,161
389,00	0,161
389,50	0,161
390,00	0,161
390,50	0,161
391,00	0,160
391,50	0,160
392,00	0,160
392,50	0,160
393,00	0,160
393,50	0,160
394,00	0,160
394,50	0,159
395,00	0,159
395,50	0,159
396,00	0,159
396,50	0,159
397,00	0,159
397,50	0,158
398,00	0,158
398,50	0,158
399,00	0,158
399,50	0,157
400,00	0,157
400,50	0,157
401,00	0,157
401,50	0,157
402,00	0,157
402,50	0,157
403,00	0,156
403,50	0,156
404,00	0,156
404,50	0,156
405,00	0,156
405,50	0,155
406,00	0,155
406,50	0,155
407,00	0,155
407,50	0,155
408,00	0,155
408,50	0,154
409,00	0,154
