"1ml - Dataset 231633"
"Wavelength nm."	"Abs."
200,00	3,140
200,50	3,140
201,00	3,140
201,50	3,140
202,00	3,140
202,50	3,140
203,00	3,140
203,50	3,140
204,00	3,140
204,50	1,890
205,00	1,384
205,50	0,918
206,00	0,952
206,50	1,096
207,00	0,970
207,50	1,031
208,00	1,204
208,50	1,473
209,00	1,200
209,50	2,159
210,00	2,520
210,50	2,540
211,00	2,528
211,50	2,968
212,00	2,806
212,50	2,154
213,00	2,626
213,50	2,753
214,00	3,027
214,50	2,893
215,00	2,614
215,50	2,794
216,00	2,500
216,50	2,188
217,00	1,619
217,50	2,121
218,00	1,645
218,50	1,730
219,00	1,721
219,50	2,432
220,00	2,156
220,50	2,236
221,00	2,907
221,50	2,905
222,00	3,423
222,50	3,399
223,00	3,196
223,50	2,779
224,00	2,312
224,50	1,417
225,00	1,095
225,50	0,557
226,00	0,298
226,50	0,114
227,00	0,014
227,50	0,463
228,00	0,456
228,50	0,982
229,00	1,219
229,50	1,310
230,00	1,335
230,50	0,967
231,00	0,674
231,50	1,035
232,00	1,347
232,50	1,372
233,00	1,319
233,50	1,074
234,00	1,026
234,50	0,726
235,00	1,636
235,50	1,957
236,00	2,217
236,50	2,276
237,00	2,264
237,50	1,641
238,00	1,532
238,50	0,907
239,00	1,418
239,50	2,078
240,00	2,220
240,50	2,142
241,00	1,905
241,50	1,575
242,00	0,676
242,50	0,953
243,00	1,440
243,50	1,717
244,00	1,552
244,50	1,209
245,00	0,861
245,50	0,266
246,00	0,373
246,50	-0,368
247,00	-0,167
247,50	0,309
248,00	0,516
248,50	0,826
249,00	0,956
249,50	1,064
250,00	0,951
250,50	1,103
251,00	1,514
251,50	1,455
252,00	1,583
252,50	1,765
253,00	1,884
253,50	1,647
254,00	1,004
254,50	0,858
255,00	0,847
255,50	1,723
256,00	1,910
256,50	2,111
257,00	2,022
257,50	1,846
258,00	1,577
258,50	1,166
259,00	1,304
259,50	1,035
260,00	1,341
260,50	1,127
261,00	0,814
261,50	0,345
262,00	-0,075
262,50	0,108
263,00	-0,141
263,50	0,252
264,00	-0,174
264,50	-0,303
265,00	0,188
265,50	0,621
266,00	0,678
266,50	1,263
267,00	1,693
267,50	2,084
268,00	2,258
268,50	2,410
269,00	2,516
269,50	2,483
270,00	1,929
270,50	1,927
271,00	1,717
271,50	0,945
272,00	0,737
272,50	0,961
273,00	1,352
273,50	1,266
274,00	1,076
274,50	1,408
275,00	1,298
275,50	1,234
276,00	1,112
276,50	1,075
277,00	0,822
277,50	0,398
278,00	0,007
278,50	0,252
279,00	0,008
279,50	-0,251
280,00	0,165
280,50	0,152
281,00	0,160
281,50	0,155
282,00	0,145
282,50	0,123
283,00	0,156
283,50	0,207
284,00	0,237
284,50	0,255
285,00	0,198
285,50	0,164
286,00	0,205
286,50	0,209
287,00	-0,159
287,50	0,123
288,00	-0,017
288,50	0,467
289,00	0,471
289,50	1,071
290,00	1,538
290,50	1,880
291,00	2,131
291,50	2,284
292,00	2,339
292,50	2,281
293,00	2,114
293,50	1,854
294,00	1,493
294,50	1,022
295,00	0,453
295,50	0,448
296,00	0,007
296,50	0,171
297,00	-0,112
297,50	0,268
298,00	0,243
298,50	0,222
299,00	0,227
299,50	0,224
300,00	0,223
300,50	0,215
301,00	0,219
301,50	0,224
302,00	0,227
302,50	0,228
303,00	0,230
303,50	0,226
304,00	0,230
304,50	0,229
305,00	0,222
305,50	0,221
306,00	0,221
306,50	0,219
307,00	0,216
307,50	0,208
308,00	0,207
308,50	0,207
309,00	0,208
309,50	0,201
310,00	0,204
310,50	0,205
311,00	0,206
311,50	0,205
312,00	0,210
312,50	0,215
313,00	0,216
313,50	0,223
314,00	0,226
314,50	0,229
315,00	0,230
315,50	0,230
316,00	0,231
316,50	0,230
317,00	0,228
317,50	0,224
318,00	0,222
318,50	0,218
319,00	0,216
319,50	0,213
320,00	0,213
320,50	0,215
321,00	0,216
321,50	0,217
322,00	0,215
322,50	0,219
323,00	0,221
323,50	0,221
324,00	0,217
324,50	0,214
325,00	0,214
325,50	0,212
326,00	0,211
326,50	0,207
327,00	0,203
327,50	0,201
328,00	0,201
328,50	0,202
329,00	0,200
329,50	0,202
330,00	0,203
330,50	0,207
331,00	0,207
331,50	0,208
332,00	0,206
332,50	0,209
333,00	0,210
333,50	0,210
334,00	0,209
334,50	0,209
335,00	0,208
335,50	0,210
336,00	0,210
336,50	0,209
337,00	0,209
337,50	0,209
338,00	0,207
338,50	0,208
339,00	0,207
339,50	0,209
340,00	0,206
340,50	0,206
341,00	0,203
341,50	0,201
342,00	0,200
342,50	0,201
343,00	0,200
343,50	0,200
344,00	0,199
344,50	0,197
345,00	0,195
345,50	0,194
346,00	0,195
346,50	0,198
347,00	0,198
347,50	0,199
348,00	0,198
348,50	0,201
349,00	0,202
349,50	0,202
350,00	0,204
350,50	0,205
351,00	0,202
351,50	0,202
352,00	0,202
352,50	0,201
353,00	0,199
353,50	0,197
354,00	0,197
354,50	0,197
355,00	0,197
355,50	0,195
356,00	0,195
356,50	0,197
357,00	0,195
357,50	0,195
358,00	0,195
358,50	0,193
359,00	0,193
359,50	0,197
360,00	0,198
360,50	0,197
361,00	0,197
361,50	0,197
362,00	0,198
362,50	0,199
