"1.4ml - Dataset 231550"
"Wavelength nm."	"Abs."
200,00	1,166
200,50	1,166
201,00	1,166
201,50	1,166
202,00	1,166
202,50	1,166
203,00	1,166
203,50	1,166
204,00	1,166
204,50	1,283
205,00	1,280
205,50	1,203
206,00	1,159
206,50	1,567
207,00	1,728
207,50	1,641
208,00	1,686
208,50	1,256
209,00	1,423
209,50	1,580
210,00	1,629
210,50	1,607
211,00	1,591
211,50	1,414
212,00	1,188
212,50	1,483
213,00	1,399
213,50	1,268
214,00	1,163
214,50	0,998
215,00	0,830
215,50	0,570
216,00	0,353
216,50	0,052
217,00	-0,053
217,50	0,195
218,00	0,297
218,50	0,469
219,00	0,647
219,50	0,715
220,00	0,429
220,50	0,711
221,00	1,036
221,50	1,260
222,00	1,474
222,50	1,569
223,00	1,595
223,50	1,601
224,00	1,482
224,50	1,243
225,00	0,853
225,50	0,723
226,00	0,753
226,50	0,395
227,00	0,201
227,50	0,177
228,00	0,692
228,50	1,759
229,00	2,327
229,50	2,506
230,00	2,790
230,50	2,952
231,00	3,040
231,50	2,995
232,00	2,720
232,50	2,199
233,00	1,594
233,50	0,495
234,00	0,193
234,50	0,034
235,00	0,340
235,50	0,782
236,00	1,474
236,50	1,653
237,00	1,664
237,50	1,495
238,00	1,520
238,50	1,499
239,00	1,047
239,50	1,156
240,00	0,712
240,50	0,780
241,00	0,801
241,50	0,781
242,00	1,138
242,50	1,719
243,00	1,762
243,50	1,931
244,00	1,794
244,50	1,541
245,00	1,335
245,50	0,908
246,00	0,469
246,50	-0,282
247,00	-0,469
247,50	-0,095
248,00	-0,511
248,50	0,341
249,00	0,761
249,50	0,806
250,00	1,283
250,50	1,696
251,00	1,632
251,50	2,176
252,00	1,930
252,50	2,367
253,00	2,671
253,50	2,659
254,00	2,451
254,50	2,138
255,00	2,327
255,50	2,049
256,00	1,539
256,50	1,221
257,00	1,078
257,50	0,822
258,00	1,043
258,50	0,805
259,00	0,468
259,50	0,664
260,00	0,440
260,50	0,788
261,00	0,697
261,50	0,589
262,00	0,166
262,50	0,027
263,00	0,473
263,50	0,828
264,00	0,893
264,50	1,012
265,00	1,617
265,50	1,469
266,00	1,478
266,50	2,079
267,00	2,408
267,50	2,579
268,00	2,544
268,50	2,422
269,00	2,164
269,50	1,814
270,00	1,300
270,50	0,955
271,00	1,450
271,50	1,452
272,00	1,267
272,50	1,070
273,00	0,738
273,50	0,457
274,00	0,669
274,50	1,070
275,00	0,993
275,50	0,918
276,00	0,778
276,50	0,690
277,00	0,460
277,50	0,195
278,00	-0,092
278,50	-0,342
279,00	0,016
279,50	0,019
280,00	0,022
280,50	0,059
281,00	0,144
281,50	0,230
282,00	0,266
282,50	0,276
283,00	0,295
283,50	0,341
284,00	0,352
284,50	0,357
285,00	0,348
285,50	0,339
286,00	0,319
286,50	0,347
287,00	0,320
287,50	0,291
288,00	0,276
288,50	0,233
289,00	0,217
289,50	0,199
290,00	0,184
290,50	0,190
291,00	0,175
291,50	0,187
292,00	0,197
292,50	0,209
293,00	0,228
293,50	0,257
294,00	0,288
294,50	0,332
295,00	0,320
295,50	0,305
296,00	0,313
296,50	0,293
297,00	0,297
297,50	0,291
298,00	0,285
298,50	0,288
299,00	0,269
299,50	0,278
300,00	0,273
300,50	0,267
301,00	0,269
301,50	0,275
302,00	0,279
302,50	0,287
303,00	0,288
303,50	0,287
304,00	0,290
304,50	0,288
305,00	0,284
305,50	0,279
306,00	0,276
306,50	0,271
307,00	0,267
307,50	0,267
308,00	0,267
308,50	0,262
309,00	0,261
309,50	0,259
310,00	0,258
310,50	0,255
311,00	0,255
311,50	0,254
312,00	0,252
312,50	0,250
313,00	0,249
313,50	0,248
314,00	0,251
314,50	0,252
315,00	0,255
315,50	0,259
316,00	0,261
316,50	0,260
317,00	0,258
317,50	0,257
318,00	0,255
318,50	0,251
319,00	0,249
319,50	0,245
320,00	0,243
320,50	0,240
321,00	0,241
321,50	0,242
322,00	0,242
322,50	0,244
323,00	0,245
323,50	0,247
324,00	0,249
324,50	0,249
325,00	0,248
325,50	0,248
326,00	0,246
326,50	0,245
327,00	0,242
327,50	0,241
328,00	0,240
328,50	0,241
329,00	0,242
329,50	0,241
330,00	0,241
330,50	0,243
331,00	0,243
331,50	0,244
332,00	0,244
332,50	0,244
333,00	0,242
333,50	0,242
334,00	0,239
334,50	0,238
335,00	0,234
335,50	0,232
336,00	0,230
336,50	0,229
337,00	0,228
337,50	0,229
338,00	0,231
338,50	0,231
339,00	0,232
339,50	0,232
340,00	0,233
340,50	0,236
341,00	0,237
341,50	0,239
342,00	0,238
342,50	0,238
343,00	0,235
343,50	0,235
344,00	0,234
344,50	0,233
345,00	0,232
345,50	0,234
346,00	0,232
346,50	0,232
347,00	0,232
347,50	0,232
348,00	0,232
348,50	0,231
349,00	0,232
349,50	0,231
350,00	0,230
350,50	0,231
351,00	0,232
351,50	0,233
352,00	0,233
352,50	0,233
353,00	0,233
353,50	0,233
354,00	0,232
354,50	0,232
355,00	0,231
355,50	0,230
356,00	0,228
356,50	0,227
357,00	0,226
357,50	0,223
358,00	0,223
358,50	0,224
359,00	0,224
359,50	0,224
360,00	0,223
360,50	0,223
361,00	0,223
361,50	0,223
362,00	0,222
362,50	0,222
363,00	0,221
363,50	0,222
364,00	0,223
364,50	0,224
365,00	0,224
365,50	0,224
366,00	0,225
366,50	0,226
367,00	0,225
367,50	0,224
368,00	0,223
368,50	0,223
369,00	0,223
369,50	0,222
370,00	0,220
370,50	0,220
371,00	0,219
371,50	0,219
372,00	0,221
372,50	0,221
373,00	0,219
373,50	0,218
374,00	0,217
374,50	0,217
375,00	0,215
375,50	0,214
376,00	0,215
376,50	0,215
377,00	0,214
377,50	0,215
378,00	0,215
378,50	0,215
379,00	0,215
379,50	0,217
380,00	0,218
380,50	0,218
381,00	0,217
381,50	0,216
382,00	0,216
382,50	0,215
383,00	0,212
383,50	0,213
384,00	0,213
384,50	0,212
385,00	0,211
385,50	0,211
386,00	0,210
386,50	0,212
387,00	0,212
387,50	0,213
388,00	0,213
388,50	0,213
389,00	0,213
389,50	0,213
390,00	0,214
390,50	0,213
391,00	0,214
391,50	0,215
392,00	0,215
392,50	0,215
393,00	0,214
393,50	0,214
394,00	0,213
394,50	0,212
395,00	0,211
395,50	0,211
396,00	0,210
396,50	0,210
397,00	0,209
397,50	0,209
398,00	0,208
398,50	0,208
399,00	0,208
399,50	0,208
400,00	0,208
400,50	0,208
401,00	0,207
401,50	0,207
402,00	0,207
402,50	0,206
403,00	0,207
403,50	0,207
404,00	0,207
404,50	0,206
405,00	0,206
405,50	0,206
406,00	0,204
406,50	0,204
407,00	0,203
407,50	0,203
408,00	0,203
408,50	0,203
409,00	0,203
409,50	0,202
410,00	0,202
410,50	0,202
411,00	0,203
411,50	0,203
412,00	0,203
412,50	0,203
413,00	0,203
413,50	0,202
414,00	0,202
414,50	0,201
415,00	0,201
415,50	0,202
416,00	0,202
416,50	0,201
417,00	0,201
417,50	0,200
418,00	0,200
418,50	0,200
419,00	0,200
419,50	0,200
420,00	0,199
420,50	0,198
421,00	0,197
421,50	0,197
422,00	0,197
422,50	0,197
423,00	0,197
423,50	0,197
424,00	0,197
424,50	0,198
425,00	0,198
425,50	0,197
426,00	0,198
426,50	0,199
427,00	0,199
427,50	0,198
428,00	0,198
428,50	0,198
429,00	0,197
429,50	0,197
430,00	0,197
430,50	0,197
