"2 - Dataset 201033"
"Wavelength nm."	"Abs."
200,00	0.574
200,50	0.562
201,00	0.554
201,50	0.547
202,00	0.541
202,50	0.535
203,00	0.53
203,50	0.527
204,00	0.518
204,50	0.515
205,00	0.513
205,50	0.507
206,00	0.504
206,50	0.502
207,00	0.498
207,50	0.495
208,00	0.492
208,50	0.491
209,00	0.487
209,50	0.484
210,00	0.483
210,50	0.479
211,00	0.476
211,50	0.474
212,00	0.47
212,50	0.47
213,00	0.467
213,50	0.463
214,00	0.46
214,50	0.458
215,00	0.454
215,50	0.451
216,00	0.448
216,50	0.445
217,00	0.441
217,50	0.442
218,00	0.438
218,50	0.436
219,00	0.434
219,50	0.43
220,00	0.429
220,50	0.426
221,00	0.423
221,50	0.42
222,00	0.418
222,50	0.416
223,00	0.413
223,50	0.412
224,00	0.41
224,50	0.407
225,00	0.406
225,50	0.404
226,00	0.4
226,50	0.4
227,00	0.396
227,50	0.395
228,00	0.394
228,50	0.392
229,00	0.392
229,50	0.389
230,00	0.386
230,50	0.387
231,00	0.384
231,50	0.383
232,00	0.382
232,50	0.38
233,00	0.378
233,50	0.377
234,00	0.375
234,50	0.374
235,00	0.373
235,50	0.372
236,00	0.371
236,50	0.37
237,00	0.369
237,50	0.369
238,00	0.367
238,50	0.366
239,00	0.366
239,50	0.365
240,00	0.365
240,50	0.363
241,00	0.363
241,50	0.363
242,00	0.362
242,50	0.36
243,00	0.359
243,50	0.36
244,00	0.359
244,50	0.359
245,00	0.358
245,50	0.357
246,00	0.355
246,50	0.356
247,00	0.355
247,50	0.355
248,00	0.354
248,50	0.353
249,00	0.352
249,50	0.352
250,00	0.351
250,50	0.352
251,00	0.35
251,50	0.349
252,00	0.349
252,50	0.349
253,00	0.347
253,50	0.348
254,00	0.345
254,50	0.344
255,00	0.344
255,50	0.344
256,00	0.343
256,50	0.342
257,00	0.341
257,50	0.34
258,00	0.34
258,50	0.339
259,00	0.337
259,50	0.336
260,00	0.335
260,50	0.335
261,00	0.333
261,50	0.332
262,00	0.331
262,50	0.33
263,00	0.329
263,50	0.327
264,00	0.326
264,50	0.325
265,00	0.325
265,50	0.324
266,00	0.322
266,50	0.321
267,00	0.32
267,50	0.318
268,00	0.317
268,50	0.316
269,00	0.314
269,50	0.313
270,00	0.311
270,50	0.311
271,00	0.31
271,50	0.307
272,00	0.306
272,50	0.304
273,00	0.303
273,50	0.302
274,00	0.301
274,50	0.299
275,00	0.297
275,50	0.297
276,00	0.295
276,50	0.293
277,00	0.293
277,50	0.291
278,00	0.289
278,50	0.288
279,00	0.287
279,50	0.286
280,00	0.284
280,50	0.283
281,00	0.281
281,50	0.281
282,00	0.279
282,50	0.277
283,00	0.276
283,50	0.275
284,00	0.274
284,50	0.273
285,00	0.272
285,50	0.27
286,00	0.269
286,50	0.269
287,00	0.267
287,50	0.267
288,00	0.266
288,50	0.264
289,00	0.263
289,50	0.263
290,00	0.261
290,50	0.258
291,00	0.258
291,50	0.256
292,00	0.256
292,50	0.254
293,00	0.253
293,50	0.253
294,00	0.251
294,50	0.251
295,00	0.251
295,50	0.249
296,00	0.247
296,50	0.248
297,00	0.246
297,50	0.244
298,00	0.244
298,50	0.244
299,00	0.242
299,50	0.241
300,00	0.242
300,50	0.239
301,00	0.238
301,50	0.237
302,00	0.238
302,50	0.236
303,00	0.235
303,50	0.234
304,00	0.233
304,50	0.232
305,00	0.231
305,50	0.231
306,00	0.232
306,50	0.23
307,00	0.23
307,50	0.227
308,00	0.227
308,50	0.227
309,00	0.226
309,50	0.225
310,00	0.225
310,50	0.224
311,00	0.225
311,50	0.224
312,00	0.224
312,50	0.222
313,00	0.221
313,50	0.221
314,00	0.221
314,50	0.218
315,00	0.219
315,50	0.217
316,00	0.217
316,50	0.217
317,00	0.217
317,50	0.214
318,00	0.215
318,50	0.213
319,00	0.215
319,50	0.213
320,00	0.212
320,50	0.213
321,00	0.212
321,50	0.212
322,00	0.211
322,50	0.21
323,00	0.209
323,50	0.208
324,00	0.209
324,50	0.207
325,00	0.207
325,50	0.208
326,00	0.207
326,50	0.206
327,00	0.207
327,50	0.206
328,00	0.206
328,50	0.205
329,00	0.203
329,50	0.204
330,00	0.205
330,50	0.203
331,00	0.203
331,50	0.203
332,00	0.204
332,50	0.203
333,00	0.202
333,50	0.202
334,00	0.201
334,50	0.202
335,00	0.201
335,50	0.2
336,00	0.199
336,50	0.2
337,00	0.199
337,50	0.199
338,00	0.199
338,50	0.199
339,00	0.197
339,50	0.199
340,00	0.197
340,50	0.197
341,00	0.197
341,50	0.197
342,00	0.198
342,50	0.197
343,00	0.197
343,50	0.197
344,00	0.196
344,50	0.196
345,00	0.197
345,50	0.196
346,00	0.197
346,50	0.196
347,00	0.196
347,50	0.195
348,00	0.195
348,50	0.195
349,00	0.196
349,50	0.194
350,00	0.195
350,50	0.195
351,00	0.194
351,50	0.194
352,00	0.195
352,50	0.194
353,00	0.194
353,50	0.195
354,00	0.195
354,50	0.194
355,00	0.193
355,50	0.193
356,00	0.193
356,50	0.194
357,00	0.193
357,50	0.193
358,00	0.193
358,50	0.193
359,00	0.193
359,50	0.193
360,00	0.193
360,50	0.192
361,00	0.192
361,50	0.191
362,00	0.191
362,50	0.19
363,00	0.191
363,50	0.191
364,00	0.19
364,50	0.191
365,00	0.19
365,50	0.19
366,00	0.19
366,50	0.189
367,00	0.188
367,50	0.189
368,00	0.189
368,50	0.189
369,00	0.188
369,50	0.188
370,00	0.188
370,50	0.187
371,00	0.188
371,50	0.187
372,00	0.186
372,50	0.186
373,00	0.186
373,50	0.186
374,00	0.186
374,50	0.186
375,00	0.185
375,50	0.185
376,00	0.185
376,50	0.185
377,00	0.185
377,50	0.185
378,00	0.184
378,50	0.184
379,00	0.184
379,50	0.183
380,00	0.184
380,50	0.183
381,00	0.183
381,50	0.182
382,00	0.182
382,50	0.183
383,00	0.183
383,50	0.182
384,00	0.181
384,50	0.181
385,00	0.181
385,50	0.181
386,00	0.181
386,50	0.18
387,00	0.18
387,50	0.18
388,00	0.179
388,50	0.18
389,00	0.179
389,50	0.179
390,00	0.178
390,50	0.179
391,00	0.178
391,50	0.178
392,00	0.179
392,50	0.178
393,00	0.178
393,50	0.177
394,00	0.178
394,50	0.177
395,00	0.177
395,50	0.177
396,00	0.176
396,50	0.177
397,00	0.176
397,50	0.175
398,00	0.175
398,50	0.176
399,00	0.176
399,50	0.175
400,00	0.175
400,50	0.175
401,00	0.175
401,50	0.174
402,00	0.174
402,50	0.174
403,00	0.174
403,50	0.173
404,00	0.174
