"2_2 - Dataset 201232"
"Wavelength nm."	"Abs."
200,00	0.492
200,50	0.478
201,00	0.465
201,50	0.46
202,00	0.448
202,50	0.439
203,00	0.432
203,50	0.426
204,00	0.418
204,50	0.408
205,00	0.406
205,50	0.398
206,00	0.393
206,50	0.389
207,00	0.385
207,50	0.38
208,00	0.373
208,50	0.37
209,00	0.366
209,50	0.361
210,00	0.359
210,50	0.354
211,00	0.349
211,50	0.347
212,00	0.343
212,50	0.338
213,00	0.336
213,50	0.332
214,00	0.329
214,50	0.323
215,00	0.32
215,50	0.316
216,00	0.313
216,50	0.31
217,00	0.306
217,50	0.304
218,00	0.3
218,50	0.298
219,00	0.296
219,50	0.292
220,00	0.29
220,50	0.288
221,00	0.285
221,50	0.282
222,00	0.281
222,50	0.277
223,00	0.277
223,50	0.276
224,00	0.274
224,50	0.271
225,00	0.27
225,50	0.269
226,00	0.267
226,50	0.266
227,00	0.264
227,50	0.263
228,00	0.263
228,50	0.262
229,00	0.261
229,50	0.26
230,00	0.259
230,50	0.258
231,00	0.257
231,50	0.255
232,00	0.255
232,50	0.253
233,00	0.253
233,50	0.253
234,00	0.252
234,50	0.251
235,00	0.251
235,50	0.251
236,00	0.251
236,50	0.25
237,00	0.249
237,50	0.249
238,00	0.249
238,50	0.248
239,00	0.248
239,50	0.247
240,00	0.248
240,50	0.246
241,00	0.246
241,50	0.246
242,00	0.245
242,50	0.245
243,00	0.244
243,50	0.245
244,00	0.244
244,50	0.244
245,00	0.244
245,50	0.243
246,00	0.242
246,50	0.243
247,00	0.242
247,50	0.242
248,00	0.242
248,50	0.241
249,00	0.24
249,50	0.24
250,00	0.24
250,50	0.241
251,00	0.24
251,50	0.239
252,00	0.239
252,50	0.238
253,00	0.237
253,50	0.238
254,00	0.237
254,50	0.235
255,00	0.236
255,50	0.236
256,00	0.236
256,50	0.235
257,00	0.235
257,50	0.234
258,00	0.234
258,50	0.234
259,00	0.232
259,50	0.232
260,00	0.231
260,50	0.231
261,00	0.23
261,50	0.23
262,00	0.229
262,50	0.227
263,00	0.228
263,50	0.227
264,00	0.226
264,50	0.226
265,00	0.225
265,50	0.224
266,00	0.223
266,50	0.222
267,00	0.222
267,50	0.221
268,00	0.221
268,50	0.219
269,00	0.22
269,50	0.217
270,00	0.217
270,50	0.216
271,00	0.216
271,50	0.214
272,00	0.213
272,50	0.212
273,00	0.211
273,50	0.21
274,00	0.21
274,50	0.208
275,00	0.208
275,50	0.207
276,00	0.207
276,50	0.205
277,00	0.204
277,50	0.204
278,00	0.202
278,50	0.202
279,00	0.2
279,50	0.2
280,00	0.2
280,50	0.198
281,00	0.197
281,50	0.196
282,00	0.196
282,50	0.196
283,00	0.194
283,50	0.193
284,00	0.192
284,50	0.192
285,00	0.191
285,50	0.19
286,00	0.189
286,50	0.19
287,00	0.188
287,50	0.188
288,00	0.186
288,50	0.186
289,00	0.185
289,50	0.184
290,00	0.184
290,50	0.181
291,00	0.182
291,50	0.179
292,00	0.179
292,50	0.179
293,00	0.179
293,50	0.179
294,00	0.176
294,50	0.177
295,00	0.176
295,50	0.174
296,00	0.174
296,50	0.174
297,00	0.173
297,50	0.172
298,00	0.171
298,50	0.171
299,00	0.17
299,50	0.169
300,00	0.169
300,50	0.168
301,00	0.169
301,50	0.167
302,00	0.167
302,50	0.166
303,00	0.166
303,50	0.163
304,00	0.164
304,50	0.164
305,00	0.162
305,50	0.162
306,00	0.163
306,50	0.162
307,00	0.162
307,50	0.16
308,00	0.16
308,50	0.159
309,00	0.159
309,50	0.158
310,00	0.158
310,50	0.158
311,00	0.158
311,50	0.157
312,00	0.158
312,50	0.157
313,00	0.156
313,50	0.155
314,00	0.156
314,50	0.155
315,00	0.154
315,50	0.153
316,00	0.154
316,50	0.152
317,00	0.153
317,50	0.153
318,00	0.152
318,50	0.152
319,00	0.153
319,50	0.15
320,00	0.15
320,50	0.152
321,00	0.151
321,50	0.151
322,00	0.151
322,50	0.151
323,00	0.149
323,50	0.15
324,00	0.15
324,50	0.149
325,00	0.148
325,50	0.148
326,00	0.147
326,50	0.148
327,00	0.148
327,50	0.147
328,00	0.148
328,50	0.147
329,00	0.146
329,50	0.146
330,00	0.146
330,50	0.145
331,00	0.147
331,50	0.146
332,00	0.146
332,50	0.146
333,00	0.146
333,50	0.146
334,00	0.144
334,50	0.145
335,00	0.143
335,50	0.145
336,00	0.143
336,50	0.144
337,00	0.144
337,50	0.144
338,00	0.144
338,50	0.144
339,00	0.144
339,50	0.143
340,00	0.143
340,50	0.143
341,00	0.144
341,50	0.143
342,00	0.144
342,50	0.144
343,00	0.143
343,50	0.143
344,00	0.142
344,50	0.143
345,00	0.144
345,50	0.143
346,00	0.144
346,50	0.143
347,00	0.142
347,50	0.142
348,00	0.143
348,50	0.142
349,00	0.142
349,50	0.142
350,00	0.142
350,50	0.142
351,00	0.142
351,50	0.141
352,00	0.142
352,50	0.141
353,00	0.142
353,50	0.142
354,00	0.143
354,50	0.142
355,00	0.142
355,50	0.142
356,00	0.141
356,50	0.142
357,00	0.141
357,50	0.141
358,00	0.141
358,50	0.14
359,00	0.141
359,50	0.141
360,00	0.141
360,50	0.141
361,00	0.141
361,50	0.141
362,00	0.141
362,50	0.14
363,00	0.14
