"5e-4 - Dataset 225537"
"Wavelength nm."	"Abs."
200,00	3,050
200,50	3,050
201,00	3,050
201,50	3,050
202,00	3,050
202,50	3,050
203,00	3,050
203,50	3,050
204,00	3,050
204,50	2,509
205,00	2,384
205,50	2,288
206,00	1,816
206,50	2,382
207,00	2,356
207,50	2,278
208,00	2,530
208,50	3,113
209,00	3,410
209,50	3,620
210,00	4,176
210,50	4,355
211,00	4,251
211,50	4,359
212,00	4,446
212,50	3,441
213,00	3,134
213,50	2,446
214,00	2,772
214,50	2,732
215,00	2,709
215,50	2,262
216,00	1,926
216,50	2,254
217,00	2,641
217,50	3,051
218,00	3,534
218,50	3,117
219,00	2,798
219,50	2,727
220,00	2,498
220,50	1,999
221,00	1,562
221,50	1,476
222,00	2,140
222,50	2,183
223,00	2,295
223,50	2,149
224,00	2,482
224,50	3,260
225,00	3,399
225,50	2,862
226,00	2,402
226,50	2,381
227,00	2,360
227,50	3,042
228,00	2,777
228,50	2,517
229,00	2,625
229,50	3,067
230,00	3,656
230,50	3,499
231,00	3,070
231,50	3,136
232,00	3,129
232,50	2,669
233,00	1,959
233,50	0,726
234,00	0,727
234,50	0,820
235,00	0,354
235,50	0,338
236,00	-0,379
236,50	0,174
237,00	0,914
237,50	1,138
238,00	1,340
238,50	1,456
239,00	1,444
239,50	1,408
240,00	1,008
240,50	0,869
241,00	0,254
241,50	-0,146
242,00	0,649
242,50	0,916
243,00	1,070
243,50	1,111
244,00	1,299
244,50	1,454
245,00	1,777
245,50	1,528
246,00	1,907
246,50	2,236
247,00	2,222
247,50	1,648
248,00	1,136
248,50	1,327
249,00	0,854
249,50	1,568
250,00	2,312
250,50	2,625
251,00	2,682
251,50	2,609
252,00	2,332
252,50	1,379
253,00	1,723
253,50	1,068
254,00	1,631
254,50	1,635
255,00	0,964
255,50	0,797
256,00	1,262
256,50	1,711
257,00	1,531
257,50	2,007
258,00	1,876
258,50	1,403
259,00	1,407
259,50	1,356
260,00	1,080
260,50	0,697
261,00	0,469
261,50	0,430
262,00	0,533
262,50	0,834
263,00	0,940
263,50	1,646
264,00	1,937
264,50	1,889
265,00	1,722
265,50	1,643
266,00	1,346
266,50	1,076
267,00	0,944
267,50	1,040
268,00	0,941
268,50	0,700
269,00	0,341
269,50	0,592
270,00	0,361
270,50	0,781
271,00	0,707
271,50	0,705
272,00	0,698
272,50	0,537
273,00	0,372
273,50	0,322
274,00	-0,289
274,50	-0,210
