"3.14e-4 - Dataset 225010"
"Wavelength nm."	"Abs."
200,00	0,523
200,50	0,523
201,00	0,523
201,50	0,523
202,00	0,523
202,50	0,523
203,00	0,523
203,50	0,523
204,00	0,523
204,50	0,521
205,00	0,519
205,50	0,518
206,00	0,516
206,50	0,514
207,00	0,513
207,50	0,511
208,00	0,510
208,50	0,508
209,00	0,507
209,50	0,506
210,00	0,504
210,50	0,503
211,00	0,502
211,50	0,500
212,00	0,499
212,50	0,497
213,00	0,496
213,50	0,494
214,00	0,493
214,50	0,491
215,00	0,489
215,50	0,488
216,00	0,486
216,50	0,484
217,00	0,483
217,50	0,481
218,00	0,480
218,50	0,478
219,00	0,477
219,50	0,475
220,00	0,474
220,50	0,473
221,00	0,472
221,50	0,470
222,00	0,469
222,50	0,468
223,00	0,467
223,50	0,466
224,00	0,465
224,50	0,464
225,00	0,463
225,50	0,462
226,00	0,461
226,50	0,460
227,00	0,459
227,50	0,459
228,00	0,458
228,50	0,457
229,00	0,456
229,50	0,456
230,00	0,455
230,50	0,454
231,00	0,454
231,50	0,453
232,00	0,453
232,50	0,452
233,00	0,452
233,50	0,451
234,00	0,451
234,50	0,451
235,00	0,450
235,50	0,450
236,00	0,449
236,50	0,449
237,00	0,449
237,50	0,449
238,00	0,448
238,50	0,448
239,00	0,448
239,50	0,448
240,00	0,447
240,50	0,447
241,00	0,447
241,50	0,447
242,00	0,446
242,50	0,446
243,00	0,446
243,50	0,446
244,00	0,446
244,50	0,445
245,00	0,445
245,50	0,445
246,00	0,445
246,50	0,445
247,00	0,444
247,50	0,444
248,00	0,444
248,50	0,443
249,00	0,443
249,50	0,443
250,00	0,442
250,50	0,442
251,00	0,442
251,50	0,441
252,00	0,441
252,50	0,440
253,00	0,440
253,50	0,439
254,00	0,438
254,50	0,437
255,00	0,437
255,50	0,436
256,00	0,435
256,50	0,434
257,00	0,433
257,50	0,432
258,00	0,431
258,50	0,430
259,00	0,429
259,50	0,428
260,00	0,427
260,50	0,426
261,00	0,425
261,50	0,423
262,00	0,422
262,50	0,421
263,00	0,420
263,50	0,418
264,00	0,417
264,50	0,416
265,00	0,414
265,50	0,413
266,00	0,411
266,50	0,410
267,00	0,408
267,50	0,407
268,00	0,405
268,50	0,403
269,00	0,402
269,50	0,400
270,00	0,399
270,50	0,397
271,00	0,395
271,50	0,394
272,00	0,392
272,50	0,390
273,00	0,389
273,50	0,387
274,00	0,385
274,50	0,383
275,00	0,381
275,50	0,380
276,00	0,378
276,50	0,376
277,00	0,374
277,50	0,373
278,00	0,371
278,50	0,370
279,00	0,368
279,50	0,367
280,00	0,365
280,50	0,364
281,00	0,362
281,50	0,360
282,00	0,359
282,50	0,357
283,00	0,356
283,50	0,354
284,00	0,353
284,50	0,351
285,00	0,350
285,50	0,349
286,00	0,347
286,50	0,347
287,00	0,345
287,50	0,343
288,00	0,343
288,50	0,340
289,00	0,339
289,50	0,337
290,00	0,332
290,50	0,330
291,00	0,330
291,50	0,327
292,00	0,327
292,50	0,326
293,00	0,329
293,50	0,328
294,00	0,327
294,50	0,325
295,00	0,322
295,50	0,321
296,00	0,322
296,50	0,318
297,00	0,317
297,50	0,312
298,00	0,307
298,50	0,304
299,00	0,304
299,50	0,299
300,00	0,304
300,50	0,307
301,00	0,311
301,50	0,310
302,00	0,309
302,50	0,309
303,00	0,309
303,50	0,310
304,00	0,308
304,50	0,304
305,00	0,302
305,50	0,298
306,00	0,296
306,50	0,291
307,00	0,292
307,50	0,291
308,00	0,292
308,50	0,293
309,00	0,294
309,50	0,294
310,00	0,292
310,50	0,293
311,00	0,292
311,50	0,291
312,00	0,288
312,50	0,288
313,00	0,289
313,50	0,287
314,00	0,288
314,50	0,287
315,00	0,287
315,50	0,286
316,00	0,283
316,50	0,285
317,00	0,285
317,50	0,284
318,00	0,282
318,50	0,283
319,00	0,282
319,50	0,280
320,00	0,279
320,50	0,278
321,00	0,278
321,50	0,276
322,00	0,275
322,50	0,276
323,00	0,276
323,50	0,275
324,00	0,275
324,50	0,275
325,00	0,276
325,50	0,274
326,00	0,275
326,50	0,274
327,00	0,274
327,50	0,272
328,00	0,271
328,50	0,269
329,00	0,269
329,50	0,268
330,00	0,267
330,50	0,267
331,00	0,264
331,50	0,262
332,00	0,260
332,50	0,259
333,00	0,258
333,50	0,257
334,00	0,258
334,50	0,259
335,00	0,259
335,50	0,259
336,00	0,259
336,50	0,258
337,00	0,259
337,50	0,257
338,00	0,256
338,50	0,256
339,00	0,256
339,50	0,256
340,00	0,255
340,50	0,255
341,00	0,255
341,50	0,255
342,00	0,255
342,50	0,257
343,00	0,256
343,50	0,255
344,00	0,253
344,50	0,253
345,00	0,253
345,50	0,252
346,00	0,253
346,50	0,252
347,00	0,252
347,50	0,252
348,00	0,252
348,50	0,250
349,00	0,249
349,50	0,249
350,00	0,249
350,50	0,250
351,00	0,249
