"0.5_e-1M(2) - Dataset 184904"
"Wavelength nm."	"Abs."
200,00	1,051
200,50	1,051
201,00	1,051
201,50	1,051
202,00	1,051
202,50	1,051
203,00	1,051
203,50	1,051
204,00	1,051
204,50	1,525
205,00	1,389
205,50	1,821
206,00	1,997
206,50	2,693
207,00	2,738
207,50	2,672
208,00	2,153
208,50	1,719
209,00	1,296
209,50	0,989
210,00	1,375
210,50	2,441
211,00	3,051
211,50	3,260
212,00	3,325
212,50	3,827
213,00	3,259
213,50	3,821
214,00	3,342
214,50	3,309
215,00	2,616
215,50	2,402
216,00	1,915
216,50	1,808
217,00	1,660
217,50	1,222
218,00	1,582
218,50	2,044
219,00	2,084
219,50	1,986
220,00	1,447
220,50	1,355
221,00	0,660
221,50	0,801
222,00	1,063
222,50	1,780
223,00	1,955
223,50	2,603
224,00	2,675
224,50	2,571
225,00	2,245
225,50	1,810
226,00	1,888
226,50	1,538
227,00	1,148
227,50	0,651
228,00	-0,001
228,50	-0,079
229,00	-0,438
229,50	-0,391
230,00	-0,097
230,50	-0,244
231,00	-0,267
231,50	-0,341
232,00	-0,726
232,50	-0,484
233,00	-0,217
233,50	-0,015
234,00	0,160
234,50	0,417
235,00	0,601
235,50	0,395
236,00	0,809
236,50	0,744
237,00	1,313
237,50	1,093
238,00	1,472
238,50	1,750
239,00	2,003
239,50	2,062
240,00	1,882
240,50	2,258
241,00	2,236
241,50	2,063
242,00	1,868
242,50	1,148
243,00	0,561
243,50	0,546
244,00	0,959
244,50	0,839
245,00	1,299
245,50	1,080
246,00	1,490
246,50	1,472
247,00	1,433
247,50	0,926
248,00	0,580
248,50	0,980
249,00	0,771
249,50	1,073
250,00	1,239
250,50	0,715
251,00	1,033
251,50	1,778
252,00	2,497
252,50	3,142
253,00	3,508
253,50	3,582
254,00	3,535
254,50	3,267
255,00	2,818
255,50	1,765
256,00	1,848
256,50	2,096
257,00	1,526
257,50	1,561
258,00	0,957
258,50	0,277
259,00	-0,219
259,50	-0,234
260,00	0,577
260,50	1,090
261,00	1,424
261,50	1,243
262,00	1,203
262,50	1,608
263,00	1,936
263,50	2,034
264,00	2,747
264,50	2,945
265,00	2,800
265,50	2,227
266,00	2,138
266,50	1,949
267,00	1,509
267,50	1,615
268,00	1,769
268,50	1,494
269,00	1,074
269,50	0,443
270,00	0,511
270,50	0,763
271,00	0,283
271,50	-0,030
272,00	0,342
272,50	0,548
273,00	0,651
273,50	0,730
274,00	1,386
274,50	1,575
275,00	1,583
275,50	1,673
276,00	1,575
276,50	1,506
277,00	1,390
277,50	1,129
278,00	0,891
278,50	0,472
279,00	-0,069
279,50	0,020
280,00	0,375
280,50	0,347
281,00	0,347
281,50	0,311
282,00	0,275
282,50	0,198
283,00	0,109
283,50	0,196
284,00	0,181
284,50	0,206
285,00	0,216
285,50	0,224
286,00	0,260
286,50	0,265
287,00	0,251
287,50	0,255
288,00	0,265
288,50	0,271
289,00	0,274
289,50	0,276
290,00	0,280
290,50	0,283
291,00	0,285
291,50	0,283
292,00	0,282
292,50	0,278
293,00	0,273
293,50	0,267
294,00	0,263
294,50	0,259
295,00	0,257
295,50	0,256
296,00	0,256
296,50	0,257
297,00	0,258
297,50	0,259
298,00	0,260
298,50	0,261
299,00	0,262
299,50	0,263
300,00	0,263
300,50	0,263
301,00	0,263
301,50	0,262
302,00	0,261
302,50	0,260
303,00	0,259
303,50	0,258
304,00	0,258
304,50	0,257
305,00	0,257
305,50	0,257
306,00	0,256
306,50	0,256
307,00	0,256
307,50	0,255
308,00	0,255
308,50	0,254
309,00	0,253
309,50	0,253
310,00	0,252
310,50	0,251
311,00	0,250
311,50	0,250
312,00	0,249
312,50	0,248
313,00	0,248
313,50	0,247
314,00	0,246
314,50	0,246
315,00	0,245
315,50	0,244
316,00	0,243
316,50	0,243
317,00	0,242
317,50	0,242
318,00	0,241
318,50	0,240
319,00	0,240
319,50	0,239
320,00	0,239
320,50	0,238
321,00	0,237
321,50	0,237
322,00	0,236
322,50	0,236
323,00	0,235
323,50	0,234
324,00	0,234
324,50	0,233
325,00	0,233
325,50	0,232
326,00	0,232
326,50	0,232
327,00	0,231
327,50	0,231
328,00	0,230
328,50	0,230
329,00	0,229
329,50	0,229
330,00	0,228
330,50	0,228
331,00	0,227
331,50	0,227
332,00	0,227
332,50	0,226
333,00	0,226
333,50	0,225
334,00	0,225
334,50	0,224
335,00	0,224
335,50	0,224
336,00	0,224
336,50	0,223
337,00	0,223
337,50	0,223
338,00	0,222
338,50	0,222
339,00	0,222
339,50	0,222
340,00	0,221
340,50	0,221
341,00	0,221
341,50	0,220
342,00	0,220
342,50	0,220
343,00	0,220
343,50	0,220
344,00	0,220
344,50	0,220
345,00	0,219
345,50	0,219
346,00	0,219
346,50	0,219
347,00	0,219
347,50	0,219
348,00	0,219
348,50	0,219
349,00	0,219
349,50	0,219
350,00	0,219
350,50	0,219
351,00	0,219
351,50	0,219
352,00	0,219
352,50	0,219
353,00	0,218
353,50	0,218
354,00	0,218
354,50	0,218
355,00	0,218
355,50	0,218
356,00	0,218
356,50	0,218
357,00	0,218
357,50	0,218
358,00	0,218
358,50	0,218
359,00	0,217
359,50	0,217
360,00	0,217
360,50	0,217
361,00	0,217
361,50	0,217
362,00	0,217
362,50	0,217
363,00	0,217
363,50	0,217
364,00	0,217
364,50	0,217
365,00	0,216
365,50	0,216
366,00	0,216
366,50	0,216
367,00	0,216
367,50	0,216
368,00	0,216
368,50	0,215
369,00	0,215
369,50	0,215
370,00	0,215
370,50	0,215
371,00	0,215
371,50	0,215
372,00	0,215
372,50	0,214
373,00	0,214
373,50	0,214
374,00	0,214
374,50	0,214
375,00	0,214
375,50	0,214
376,00	0,214
376,50	0,214
377,00	0,213
377,50	0,213
378,00	0,213
378,50	0,213
379,00	0,213
379,50	0,212
380,00	0,212
380,50	0,212
381,00	0,212
381,50	0,211
382,00	0,211
382,50	0,211
383,00	0,211
383,50	0,211
384,00	0,210
384,50	0,210
385,00	0,210
385,50	0,210
386,00	0,209
386,50	0,209
387,00	0,209
387,50	0,209
388,00	0,208
388,50	0,208
389,00	0,208
389,50	0,208
390,00	0,208
390,50	0,207
391,00	0,207
391,50	0,207
392,00	0,207
392,50	0,207
393,00	0,206
393,50	0,206
394,00	0,206
394,50	0,206
395,00	0,205
395,50	0,205
396,00	0,205
396,50	0,205
397,00	0,205
397,50	0,204
398,00	0,204
398,50	0,204
399,00	0,204
399,50	0,203
400,00	0,203
400,50	0,203
401,00	0,203
401,50	0,202
402,00	0,202
402,50	0,202
403,00	0,202
403,50	0,201
404,00	0,201
404,50	0,201
405,00	0,201
405,50	0,201
406,00	0,200
406,50	0,200
407,00	0,200
407,50	0,200
408,00	0,200
408,50	0,199
409,00	0,199
409,50	0,199
410,00	0,199
410,50	0,199
411,00	0,198
411,50	0,198
412,00	0,198
412,50	0,198
413,00	0,198
413,50	0,198
414,00	0,197
414,50	0,197
415,00	0,197
415,50	0,197
416,00	0,197
416,50	0,197
417,00	0,197
417,50	0,196
418,00	0,196
418,50	0,196
419,00	0,196
419,50	0,196
420,00	0,195
420,50	0,195
421,00	0,195
421,50	0,195
422,00	0,195
422,50	0,195
423,00	0,194
423,50	0,194
424,00	0,194
424,50	0,194
425,00	0,194
425,50	0,194
426,00	0,194
426,50	0,193
427,00	0,193
427,50	0,193
428,00	0,193
428,50	0,193
429,00	0,193
429,50	0,193
430,00	0,193
430,50	0,193
431,00	0,193
431,50	0,192
432,00	0,192
432,50	0,192
433,00	0,192
433,50	0,192
434,00	0,192
434,50	0,192
435,00	0,192
435,50	0,192
436,00	0,192
436,50	0,192
437,00	0,192
437,50	0,191
438,00	0,191
438,50	0,191
439,00	0,191
439,50	0,191
440,00	0,191
440,50	0,191
441,00	0,191
441,50	0,191
442,00	0,191
442,50	0,191
443,00	0,191
443,50	0,191
444,00	0,191
444,50	0,191
445,00	0,191
445,50	0,191
446,00	0,191
446,50	0,191
447,00	0,191
447,50	0,191
448,00	0,191
448,50	0,191
449,00	0,191
449,50	0,191
450,00	0,191
450,50	0,191
451,00	0,191
451,50	0,191
452,00	0,191
452,50	0,191
453,00	0,192
453,50	0,192
454,00	0,192
454,50	0,192
455,00	0,192
455,50	0,192
456,00	0,192
456,50	0,192
457,00	0,192
457,50	0,192
458,00	0,192
458,50	0,193
459,00	0,193
459,50	0,193
460,00	0,193
460,50	0,193
461,00	0,193
461,50	0,194
462,00	0,194
462,50	0,194
463,00	0,194
463,50	0,195
464,00	0,195
464,50	0,195
465,00	0,196
465,50	0,196
466,00	0,196
466,50	0,196
467,00	0,197
467,50	0,197
468,00	0,197
468,50	0,198
469,00	0,198
469,50	0,198
470,00	0,199
470,50	0,199
471,00	0,199
471,50	0,200
472,00	0,200
472,50	0,201
473,00	0,201
473,50	0,202
474,00	0,202
474,50	0,203
475,00	0,203
475,50	0,204
476,00	0,204
476,50	0,205
477,00	0,206
477,50	0,206
478,00	0,207
478,50	0,208
479,00	0,208
479,50	0,209
480,00	0,210
480,50	0,211
481,00	0,211
481,50	0,212
482,00	0,213
482,50	0,214
483,00	0,215
483,50	0,216
484,00	0,217
484,50	0,218
485,00	0,219
485,50	0,220
486,00	0,221
486,50	0,223
487,00	0,224
487,50	0,225
488,00	0,226
488,50	0,228
489,00	0,229
489,50	0,231
490,00	0,232
490,50	0,234
491,00	0,235
491,50	0,237
492,00	0,238
492,50	0,240
493,00	0,242
493,50	0,243
494,00	0,245
494,50	0,247
495,00	0,249
495,50	0,251
496,00	0,253
496,50	0,254
497,00	0,256
497,50	0,258
498,00	0,260
498,50	0,262
499,00	0,264
499,50	0,266
500,00	0,269
500,50	0,271
501,00	0,273
501,50	0,275
502,00	0,277
502,50	0,279
503,00	0,281
503,50	0,283
504,00	0,285
504,50	0,287
505,00	0,290
505,50	0,292
506,00	0,294
506,50	0,296
507,00	0,298
507,50	0,300
508,00	0,302
508,50	0,304
509,00	0,306
509,50	0,308
510,00	0,310
510,50	0,312
511,00	0,314
511,50	0,316
512,00	0,317
512,50	0,319
513,00	0,321
513,50	0,323
514,00	0,324
514,50	0,326
515,00	0,327
515,50	0,329
516,00	0,330
516,50	0,332
517,00	0,333
517,50	0,334
518,00	0,336
518,50	0,337
519,00	0,338
519,50	0,339
520,00	0,340
520,50	0,341
521,00	0,342
521,50	0,342
522,00	0,343
522,50	0,344
523,00	0,344
523,50	0,345
524,00	0,345
524,50	0,346
525,00	0,346
525,50	0,346
526,00	0,346
526,50	0,346
527,00	0,346
527,50	0,346
528,00	0,346
528,50	0,346
529,00	0,346
529,50	0,346
530,00	0,346
530,50	0,345
531,00	0,345
531,50	0,344
532,00	0,344
532,50	0,343
533,00	0,343
533,50	0,342
534,00	0,342
534,50	0,341
535,00	0,340
535,50	0,339
536,00	0,339
536,50	0,338
537,00	0,337
537,50	0,336
538,00	0,335
538,50	0,334
539,00	0,332
539,50	0,331
540,00	0,330
540,50	0,329
541,00	0,327
541,50	0,326
542,00	0,324
542,50	0,323
543,00	0,322
543,50	0,320
544,00	0,319
544,50	0,317
545,00	0,315
545,50	0,314
546,00	0,312
546,50	0,310
547,00	0,309
547,50	0,307
548,00	0,305
548,50	0,303
549,00	0,302
549,50	0,300
550,00	0,298
550,50	0,296
551,00	0,294
551,50	0,292
552,00	0,290
552,50	0,288
553,00	0,286
553,50	0,284
554,00	0,282
554,50	0,280
555,00	0,278
555,50	0,276
556,00	0,274
556,50	0,272
557,00	0,270
557,50	0,267
558,00	0,265
558,50	0,263
559,00	0,261
559,50	0,259
560,00	0,257
560,50	0,254
561,00	0,252
561,50	0,250
562,00	0,248
562,50	0,245
563,00	0,243
563,50	0,241
564,00	0,239
564,50	0,237
565,00	0,234
565,50	0,232
566,00	0,230
566,50	0,228
567,00	0,225
567,50	0,223
568,00	0,221
568,50	0,219
569,00	0,216
569,50	0,214
570,00	0,212
570,50	0,210
571,00	0,208
571,50	0,206
572,00	0,204
572,50	0,202
573,00	0,200
573,50	0,198
574,00	0,196
574,50	0,194
575,00	0,192
575,50	0,190
576,00	0,188
576,50	0,186
577,00	0,184
577,50	0,183
578,00	0,181
578,50	0,179
579,00	0,177
579,50	0,175
580,00	0,174
580,50	0,172
581,00	0,170
581,50	0,168
582,00	0,166
582,50	0,165
583,00	0,163
583,50	0,161
584,00	0,160
584,50	0,158
585,00	0,156
585,50	0,155
586,00	0,153
586,50	0,151
587,00	0,150
587,50	0,148
588,00	0,146
588,50	0,145
589,00	0,143
589,50	0,142
590,00	0,140
590,50	0,139
591,00	0,137
591,50	0,136
592,00	0,134
592,50	0,133
593,00	0,131
593,50	0,130
594,00	0,129
594,50	0,127
595,00	0,126
595,50	0,125
596,00	0,123
596,50	0,122
597,00	0,121
597,50	0,120
598,00	0,119
598,50	0,117
599,00	0,116
599,50	0,115
600,00	0,114
600,50	0,113
601,00	0,111
601,50	0,110
602,00	0,109
602,50	0,108
603,00	0,107
603,50	0,106
604,00	0,105
604,50	0,104
605,00	0,103
605,50	0,102
606,00	0,101
606,50	0,100
607,00	0,099
607,50	0,098
608,00	0,097
608,50	0,096
609,00	0,095
609,50	0,094
610,00	0,093
610,50	0,093
611,00	0,092
611,50	0,091
612,00	0,090
612,50	0,089
613,00	0,088
613,50	0,087
614,00	0,086
614,50	0,086
615,00	0,085
615,50	0,084
616,00	0,083
616,50	0,083
617,00	0,082
617,50	0,081
618,00	0,080
618,50	0,080
619,00	0,079
619,50	0,078
620,00	0,078
620,50	0,077
621,00	0,076
621,50	0,075
