"0.5_e-2M(3) - RawData"
"Wavelength nm."	"Abs."
200,00	-0,465
200,50	-0,251
201,00	6,000
201,50	-0,076
202,00	0,031
202,50	-0,789
203,00	0,065
203,50	6,000
204,00	0,008
204,50	-0,418
205,00	-0,457
205,50	-0,510
206,00	6,000
206,50	-0,030
207,00	0,891
207,50	0,353
208,00	6,000
208,50	0,469
209,00	-0,631
209,50	6,000
210,00	6,000
210,50	6,000
211,00	0,346
211,50	1,480
212,00	6,000
212,50	-1,877
213,00	6,000
213,50	-0,360
214,00	-0,228
214,50	-0,016
215,00	6,000
215,50	-0,081
216,00	6,000
216,50	0,301
217,00	0,813
217,50	-0,027
218,00	-0,264
218,50	-0,245
219,00	-0,487
219,50	-0,202
220,00	-0,100
220,50	-0,392
221,00	6,000
221,50	6,000
222,00	-1,006
222,50	-0,626
223,00	0,610
223,50	-0,484
224,00	0,864
224,50	0,401
225,00	-0,318
225,50	6,000
226,00	1,929
226,50	-0,565
227,00	-0,426
227,50	0,163
228,00	0,081
228,50	0,780
229,00	-0,256
229,50	0,480
230,00	0,165
230,50	-0,246
231,00	-0,361
231,50	0,066
232,00	-0,300
232,50	0,644
233,00	-2,152
233,50	6,000
234,00	-0,247
234,50	0,916
235,00	6,000
235,50	0,017
236,00	6,000
236,50	-0,340
237,00	0,308
237,50	0,298
238,00	-0,090
238,50	-0,192
239,00	0,568
239,50	6,000
240,00	-0,188
240,50	-0,317
241,00	2,027
241,50	0,245
242,00	6,000
242,50	-0,238
243,00	-0,312
243,50	-0,629
244,00	0,209
244,50	6,000
245,00	-0,054
245,50	-0,187
246,00	0,076
246,50	-0,770
247,00	0,705
247,50	-0,329
248,00	0,467
248,50	-0,132
249,00	-0,766
249,50	0,253
250,00	0,142
250,50	0,073
251,00	0,334
251,50	6,000
252,00	6,000
252,50	-1,414
253,00	-0,048
253,50	-0,189
254,00	0,010
254,50	0,431
255,00	0,046
255,50	-0,264
256,00	0,866
256,50	-0,227
257,00	-0,196
257,50	0,057
258,00	-0,363
258,50	-0,361
259,00	0,132
259,50	-0,125
260,00	0,334
260,50	-0,733
261,00	-0,522
261,50	-0,037
262,00	6,000
262,50	-0,503
263,00	6,000
263,50	6,000
264,00	0,286
264,50	-0,112
265,00	-0,317
265,50	6,000
266,00	0,454
266,50	-0,287
267,00	0,261
267,50	-0,105
268,00	-0,517
268,50	6,000
269,00	-0,132
269,50	6,000
270,00	-0,016
270,50	0,369
271,00	-0,097
271,50	0,668
272,00	0,368
272,50	6,000
273,00	0,958
273,50	0,766
274,00	-0,553
274,50	6,000
275,00	6,000
275,50	6,000
276,00	0,184
276,50	0,113
277,00	0,393
277,50	0,778
278,00	-0,188
278,50	0,399
279,00	-0,236
279,50	-0,213
280,00	0,022
280,50	0,078
281,00	0,131
281,50	-0,004
282,00	0,195
282,50	0,047
283,00	0,294
283,50	0,271
284,00	0,200
284,50	0,212
285,00	0,251
285,50	0,250
286,00	0,251
286,50	0,241
287,00	0,232
287,50	0,261
288,00	0,255
288,50	0,255
289,00	0,268
289,50	0,274
290,00	0,270
290,50	0,271
291,00	0,288
291,50	0,278
292,00	0,277
292,50	0,266
293,00	0,259
293,50	0,246
294,00	0,252
294,50	0,242
295,00	0,250
295,50	0,245
296,00	0,242
296,50	0,248
297,00	0,249
297,50	0,248
298,00	0,249
298,50	0,247
299,00	0,249
299,50	0,249
300,00	0,245
300,50	0,249
301,00	0,246
301,50	0,245
302,00	0,244
302,50	0,247
303,00	0,246
303,50	0,243
304,00	0,244
304,50	0,243
305,00	0,245
305,50	0,242
306,00	0,241
306,50	0,240
307,00	0,241
307,50	0,241
308,00	0,239
308,50	0,237
309,00	0,238
309,50	0,238
310,00	0,237
310,50	0,237
311,00	0,237
311,50	0,234
312,00	0,235
312,50	0,235
313,00	0,234
313,50	0,233
314,00	0,232
314,50	0,232
315,00	0,233
315,50	0,231
316,00	0,230
316,50	0,231
317,00	0,229
317,50	0,230
318,00	0,228
318,50	0,229
319,00	0,227
319,50	0,227
320,00	0,227
320,50	0,228
321,00	0,227
321,50	0,227
322,00	0,226
322,50	0,223
323,00	0,224
323,50	0,223
324,00	0,224
324,50	0,223
325,00	0,221
