"0.5e-2M(2) - Dataset 180943"
"Wavelength nm."	"Abs."
200,00	1,690
200,50	1,690
201,00	1,690
201,50	1,690
202,00	1,690
202,50	1,690
203,00	1,690
203,50	1,690
204,00	1,690
204,50	1,843
205,00	2,499
205,50	3,010
206,00	3,111
206,50	2,668
207,00	2,617
207,50	3,049
208,00	2,493
208,50	3,179
209,00	2,656
209,50	2,559
210,00	1,739
210,50	2,056
211,00	2,041
211,50	1,805
212,00	2,060
212,50	2,652
213,00	3,218
213,50	2,842
214,00	2,476
214,50	2,689
215,00	3,151
215,50	2,742
216,00	2,374
216,50	3,097
217,00	2,959
217,50	2,875
218,00	2,804
218,50	3,107
219,00	2,703
219,50	2,840
220,00	2,673
220,50	2,167
221,00	1,685
221,50	1,322
222,00	1,980
222,50	2,695
223,00	2,749
223,50	2,240
224,00	2,385
224,50	3,272
225,00	3,480
225,50	3,375
226,00	3,757
226,50	3,345
227,00	2,828
227,50	2,275
228,00	1,491
228,50	1,162
229,00	0,545
229,50	0,779
230,00	1,098
230,50	1,012
231,00	0,754
231,50	0,373
232,00	0,188
232,50	0,919
233,00	1,102
233,50	1,241
234,00	1,297
234,50	0,810
235,00	0,689
235,50	0,756
236,00	1,346
236,50	1,668
237,00	1,748
237,50	2,361
238,00	2,381
238,50	2,538
239,00	2,448
239,50	2,270
240,00	1,441
240,50	1,467
241,00	1,605
241,50	1,597
242,00	1,366
242,50	0,935
243,00	0,976
243,50	0,788
244,00	1,496
244,50	1,593
245,00	1,692
245,50	1,577
246,00	1,455
246,50	1,377
247,00	1,045
247,50	0,272
248,00	-0,378
248,50	0,273
249,00	1,063
249,50	1,303
250,00	1,050
250,50	0,955
251,00	1,288
251,50	1,565
252,00	2,340
252,50	2,527
253,00	2,590
253,50	2,482
254,00	2,325
254,50	2,068
255,00	1,584
255,50	0,579
256,00	0,806
256,50	1,239
257,00	0,991
257,50	0,573
258,00	0,131
258,50	0,356
259,00	0,357
259,50	0,272
260,00	0,319
260,50	0,948
261,00	1,482
261,50	1,512
262,00	1,896
262,50	2,323
263,00	2,450
263,50	2,432
264,00	2,979
264,50	2,929
265,00	2,661
265,50	1,840
266,00	1,622
266,50	0,838
267,00	0,459
267,50	0,625
268,00	0,868
268,50	1,279
269,00	1,212
269,50	0,961
270,00	1,415
270,50	1,538
271,00	1,043
271,50	0,786
272,00	1,096
272,50	1,189
273,00	0,792
273,50	0,828
274,00	1,406
274,50	1,134
275,00	2,053
275,50	2,424
276,00	2,608
276,50	2,657
277,00	2,638
277,50	2,470
278,00	2,198
278,50	1,676
279,00	0,993
279,50	0,877
280,00	0,954
280,50	0,573
281,00	0,138
281,50	0,311
282,00	0,061
282,50	-0,185
283,00	0,202
283,50	0,204
284,00	0,205
284,50	0,194
285,00	0,233
285,50	0,258
286,00	0,285
286,50	0,274
287,00	0,274
287,50	0,275
288,00	0,274
288,50	0,277
289,00	0,273
289,50	0,277
290,00	0,277
290,50	0,279
291,00	0,282
291,50	0,282
292,00	0,282
292,50	0,280
293,00	0,277
293,50	0,275
294,00	0,272
294,50	0,268
295,00	0,265
295,50	0,261
296,00	0,260
296,50	0,258
297,00	0,257
297,50	0,257
298,00	0,257
298,50	0,258
299,00	0,258
299,50	0,258
300,00	0,259
300,50	0,258
301,00	0,258
301,50	0,257
302,00	0,256
302,50	0,255
303,00	0,254
303,50	0,253
304,00	0,252
304,50	0,252
305,00	0,251
305,50	0,251
306,00	0,250
306,50	0,250
307,00	0,249
307,50	0,249
308,00	0,248
308,50	0,248
309,00	0,247
309,50	0,247
310,00	0,246
310,50	0,246
311,00	0,245
311,50	0,244
312,00	0,243
312,50	0,242
313,00	0,241
313,50	0,241
