"1_e-1M - Dataset 190611"
"Wavelength nm."	"Abs."
200,00	2,334
200,50	2,334
201,00	2,334
201,50	2,334
202,00	2,334
202,50	2,334
203,00	2,334
203,50	2,334
204,00	2,334
204,50	2,518
205,00	2,528
205,50	2,376
206,00	2,088
206,50	1,113
207,00	0,954
207,50	0,501
208,00	0,815
208,50	1,992
209,00	2,461
209,50	2,553
210,00	2,615
210,50	3,045
211,00	2,542
211,50	2,517
212,00	2,438
212,50	2,372
213,00	2,380
213,50	2,180
214,00	1,827
214,50	1,155
215,00	0,995
215,50	0,584
216,00	1,023
216,50	1,654
217,00	1,593
217,50	1,099
218,00	1,316
218,50	1,142
219,00	0,911
219,50	1,289
220,00	1,146
220,50	0,817
221,00	0,813
221,50	0,666
222,00	1,071
222,50	1,286
223,00	1,376
223,50	1,260
224,00	1,659
224,50	1,603
225,00	1,094
225,50	1,142
226,00	1,369
226,50	1,264
227,00	1,746
227,50	2,030
228,00	1,683
228,50	1,828
229,00	1,968
229,50	2,412
230,00	2,990
230,50	2,996
231,00	2,818
231,50	2,392
232,00	1,524
232,50	0,872
233,00	0,712
233,50	1,009
234,00	0,781
234,50	1,053
235,00	1,082
235,50	0,866
236,00	1,218
236,50	1,676
237,00	2,321
237,50	2,674
238,00	2,494
238,50	2,784
239,00	2,818
239,50	2,665
240,00	2,245
240,50	1,970
241,00	2,474
241,50	2,472
242,00	2,289
242,50	1,900
243,00	1,234
243,50	1,101
244,00	1,103
244,50	0,658
245,00	0,872
245,50	0,554
246,00	0,164
246,50	0,408
247,00	0,172
247,50	-0,365
248,00	-0,719
248,50	-0,277
249,00	0,561
249,50	0,968
250,00	1,256
250,50	1,427
251,00	1,498
251,50	1,577
252,00	1,127
252,50	0,950
253,00	1,304
253,50	1,417
254,00	1,084
254,50	1,281
255,00	1,231
255,50	1,217
256,00	1,638
256,50	2,278
257,00	2,166
257,50	2,041
258,00	1,780
258,50	1,557
259,00	1,151
259,50	0,272
260,00	-0,160
260,50	0,061
261,00	0,437
261,50	0,080
262,00	0,294
262,50	1,087
263,00	1,320
263,50	1,551
264,00	1,763
264,50	1,831
265,00	1,739
265,50	1,213
266,00	1,263
266,50	0,890
267,00	0,962
267,50	0,915
268,00	1,308
268,50	1,297
269,00	1,184
269,50	1,004
270,00	1,507
270,50	1,085
271,00	0,859
271,50	0,838
272,00	1,399
272,50	1,694
273,00	1,813
273,50	1,734
274,00	2,228
274,50	1,812
275,00	2,614
275,50	2,763
276,00	2,698
276,50	2,540
277,00	2,234
277,50	1,764
278,00	1,310
278,50	0,536
279,00	0,355
279,50	0,361
280,00	0,601
280,50	0,489
281,00	0,315
281,50	0,158
282,00	-0,009
282,50	-0,233
283,00	0,211
283,50	0,225
284,00	0,215
284,50	0,227
285,00	0,244
285,50	0,265
286,00	0,293
286,50	0,276
287,00	0,286
287,50	0,278
288,00	0,280
288,50	0,290
289,00	0,291
289,50	0,297
290,00	0,302
290,50	0,303
291,00	0,302
291,50	0,297
292,00	0,293
292,50	0,288
293,00	0,281
293,50	0,277
294,00	0,273
294,50	0,271
295,00	0,270
295,50	0,272
296,00	0,276
296,50	0,279
297,00	0,282
297,50	0,285
298,00	0,287
298,50	0,288
299,00	0,289
299,50	0,290
300,00	0,291
300,50	0,290
301,00	0,290
301,50	0,290
302,00	0,289
302,50	0,289
303,00	0,288
303,50	0,287
304,00	0,286
304,50	0,286
305,00	0,285
305,50	0,285
306,00	0,284
306,50	0,283
307,00	0,283
307,50	0,282
308,00	0,282
308,50	0,282
309,00	0,281
309,50	0,281
310,00	0,280
310,50	0,279
311,00	0,278
311,50	0,278
312,00	0,277
312,50	0,276
313,00	0,275
313,50	0,274
314,00	0,274
314,50	0,273
315,00	0,272
315,50	0,272
316,00	0,271
316,50	0,270
317,00	0,270
317,50	0,269
318,00	0,268
318,50	0,268
319,00	0,267
319,50	0,267
320,00	0,266
320,50	0,265
321,00	0,265
321,50	0,264
322,00	0,263
322,50	0,262
323,00	0,262
323,50	0,261
324,00	0,260
324,50	0,260
325,00	0,259
325,50	0,258
326,00	0,258
326,50	0,257
327,00	0,257
327,50	0,256
328,00	0,256
328,50	0,255
329,00	0,254
329,50	0,254
