"0.4_1 - Dataset 194733"
"Wavelength nm."	"Abs."
200,00	0,275
200,50	0,275
201,00	0,275
201,50	0,275
202,00	0,275
202,50	0,275
203,00	0,275
203,50	0,275
204,00	0,275
204,50	0,274
205,00	0,273
205,50	0,273
206,00	0,273
206,50	0,273
207,00	0,273
207,50	0,273
208,00	0,273
208,50	0,273
209,00	0,273
209,50	0,273
210,00	0,273
210,50	0,274
211,00	0,274
211,50	0,274
212,00	0,275
212,50	0,275
213,00	0,275
213,50	0,275
214,00	0,276
214,50	0,276
215,00	0,276
215,50	0,276
216,00	0,276
216,50	0,276
217,00	0,276
217,50	0,276
218,00	0,276
218,50	0,276
219,00	0,276
219,50	0,276
220,00	0,276
220,50	0,277
221,00	0,277
221,50	0,277
222,00	0,277
222,50	0,277
223,00	0,277
223,50	0,277
224,00	0,277
224,50	0,276
225,00	0,276
225,50	0,276
226,00	0,276
226,50	0,276
227,00	0,276
227,50	0,276
228,00	0,276
228,50	0,276
229,00	0,276
229,50	0,276
230,00	0,276
230,50	0,276
231,00	0,276
231,50	0,276
232,00	0,276
232,50	0,276
233,00	0,275
233,50	0,275
234,00	0,276
234,50	0,276
235,00	0,276
235,50	0,276
236,00	0,276
236,50	0,276
237,00	0,276
237,50	0,276
238,00	0,277
238,50	0,277
239,00	0,277
239,50	0,277
240,00	0,277
240,50	0,278
241,00	0,278
241,50	0,278
242,00	0,278
242,50	0,279
243,00	0,279
243,50	0,279
244,00	0,279
244,50	0,280
245,00	0,280
245,50	0,280
246,00	0,280
246,50	0,281
247,00	0,281
247,50	0,281
248,00	0,281
248,50	0,282
249,00	0,282
249,50	0,282
250,00	0,282
250,50	0,283
251,00	0,283
251,50	0,283
252,00	0,284
252,50	0,284
253,00	0,284
253,50	0,284
254,00	0,285
254,50	0,285
255,00	0,285
255,50	0,285
256,00	0,285
256,50	0,286
257,00	0,286
257,50	0,286
258,00	0,286
258,50	0,286
259,00	0,286
259,50	0,286
260,00	0,286
260,50	0,286
261,00	0,286
261,50	0,286
262,00	0,286
262,50	0,286
263,00	0,286
263,50	0,286
264,00	0,286
264,50	0,286
265,00	0,285
265,50	0,285
266,00	0,285
266,50	0,285
267,00	0,284
267,50	0,284
268,00	0,284
268,50	0,283
269,00	0,283
269,50	0,283
270,00	0,282
270,50	0,282
271,00	0,281
271,50	0,281
272,00	0,280
272,50	0,279
273,00	0,279
273,50	0,278
274,00	0,277
274,50	0,277
275,00	0,276
275,50	0,275
276,00	0,275
276,50	0,274
277,00	0,273
277,50	0,272
278,00	0,272
278,50	0,271
279,00	0,270
279,50	0,269
280,00	0,268
280,50	0,268
281,00	0,267
281,50	0,266
282,00	0,265
282,50	0,264
283,00	0,263
283,50	0,263
284,00	0,262
284,50	0,261
285,00	0,260
285,50	0,260
286,00	0,259
286,50	0,258
287,00	0,258
287,50	0,257
288,00	0,256
288,50	0,256
289,00	0,255
289,50	0,254
290,00	0,253
290,50	0,252
291,00	0,251
291,50	0,250
292,00	0,249
292,50	0,249
293,00	0,248
293,50	0,247
294,00	0,247
294,50	0,246
295,00	0,245
295,50	0,244
296,00	0,244
296,50	0,243
297,00	0,242
297,50	0,241
298,00	0,240
298,50	0,239
299,00	0,238
299,50	0,238
300,00	0,237
300,50	0,236
301,00	0,235
301,50	0,235
302,00	0,234
302,50	0,233
303,00	0,232
303,50	0,232
304,00	0,231
304,50	0,230
305,00	0,230
305,50	0,229
306,00	0,228
306,50	0,228
307,00	0,227
307,50	0,226
308,00	0,226
308,50	0,225
309,00	0,224
309,50	0,224
310,00	0,223
310,50	0,222
311,00	0,222
311,50	0,221
312,00	0,220
312,50	0,220
313,00	0,219
313,50	0,218
314,00	0,218
314,50	0,217
315,00	0,216
315,50	0,216
316,00	0,215
316,50	0,215
317,00	0,214
317,50	0,213
318,00	0,213
318,50	0,212
319,00	0,211
319,50	0,211
320,00	0,210
320,50	0,210
321,00	0,209
321,50	0,209
322,00	0,208
322,50	0,208
323,00	0,207
323,50	0,207
324,00	0,206
324,50	0,205
325,00	0,204
325,50	0,204
326,00	0,203
326,50	0,203
327,00	0,202
327,50	0,202
328,00	0,201
328,50	0,201
329,00	0,200
329,50	0,199
330,00	0,199
330,50	0,199
331,00	0,198
331,50	0,198
332,00	0,197
332,50	0,197
333,00	0,196
333,50	0,195
334,00	0,195
334,50	0,194
335,00	0,194
335,50	0,193
336,00	0,193
336,50	0,192
337,00	0,192
337,50	0,192
338,00	0,191
338,50	0,191
339,00	0,191
339,50	0,191
340,00	0,190
340,50	0,190
341,00	0,190
341,50	0,189
342,00	0,189
342,50	0,189
343,00	0,189
343,50	0,188
344,00	0,188
344,50	0,188
345,00	0,188
345,50	0,188
346,00	0,187
346,50	0,187
347,00	0,187
347,50	0,187
348,00	0,187
348,50	0,186
349,00	0,186
349,50	0,186
350,00	0,186
350,50	0,186
351,00	0,186
351,50	0,186
352,00	0,186
352,50	0,186
353,00	0,186
353,50	0,186
354,00	0,186
354,50	0,186
355,00	0,186
355,50	0,186
356,00	0,186
356,50	0,186
357,00	0,186
357,50	0,186
358,00	0,186
358,50	0,186
359,00	0,186
359,50	0,186
360,00	0,186
360,50	0,186
361,00	0,186
361,50	0,185
362,00	0,185
362,50	0,185
363,00	0,185
363,50	0,185
364,00	0,185
364,50	0,185
365,00	0,185
365,50	0,185
366,00	0,185
366,50	0,185
367,00	0,184
367,50	0,184
368,00	0,184
368,50	0,184
369,00	0,184
369,50	0,184
370,00	0,184
370,50	0,183
371,00	0,183
371,50	0,183
372,00	0,183
372,50	0,183
373,00	0,183
373,50	0,182
374,00	0,182
374,50	0,182
375,00	0,182
375,50	0,182
376,00	0,182
376,50	0,181
377,00	0,181
377,50	0,181
378,00	0,181
378,50	0,181
379,00	0,181
379,50	0,180
380,00	0,180
380,50	0,180
381,00	0,180
381,50	0,180
382,00	0,180
382,50	0,180
383,00	0,179
383,50	0,179
384,00	0,179
384,50	0,179
385,00	0,179
385,50	0,178
386,00	0,178
386,50	0,178
387,00	0,178
387,50	0,177
388,00	0,177
388,50	0,177
389,00	0,177
389,50	0,177
390,00	0,176
390,50	0,176
391,00	0,176
391,50	0,176
392,00	0,176
392,50	0,175
393,00	0,175
393,50	0,175
394,00	0,175
394,50	0,175
395,00	0,175
395,50	0,174
396,00	0,174
396,50	0,174
397,00	0,174
397,50	0,174
398,00	0,173
398,50	0,173
399,00	0,173
399,50	0,173
400,00	0,172
400,50	0,172
401,00	0,172
401,50	0,172
402,00	0,172
402,50	0,171
403,00	0,171
403,50	0,171
404,00	0,171
404,50	0,171
405,00	0,170
405,50	0,170
406,00	0,170
406,50	0,170
407,00	0,169
407,50	0,169
408,00	0,169
408,50	0,169
409,00	0,168
409,50	0,168
410,00	0,168
410,50	0,168
411,00	0,168
411,50	0,168
412,00	0,168
412,50	0,167
413,00	0,167
413,50	0,167
414,00	0,167
414,50	0,167
415,00	0,166
415,50	0,166
416,00	0,166
416,50	0,166
417,00	0,165
417,50	0,165
418,00	0,165
418,50	0,165
419,00	0,165
419,50	0,165
420,00	0,164
420,50	0,164
421,00	0,164
421,50	0,164
422,00	0,164
422,50	0,164
423,00	0,164
423,50	0,163
424,00	0,163
424,50	0,163
425,00	0,163
425,50	0,163
426,00	0,163
426,50	0,163
427,00	0,162
427,50	0,162
428,00	0,162
428,50	0,162
429,00	0,162
429,50	0,161
430,00	0,161
430,50	0,161
431,00	0,161
431,50	0,161
432,00	0,161
432,50	0,160
433,00	0,160
433,50	0,160
434,00	0,160
434,50	0,160
435,00	0,160
435,50	0,160
436,00	0,160
436,50	0,160
437,00	0,160
437,50	0,160
438,00	0,160
438,50	0,160
439,00	0,160
439,50	0,159
440,00	0,159
440,50	0,159
441,00	0,159
441,50	0,159
442,00	0,159
442,50	0,159
443,00	0,159
443,50	0,159
444,00	0,159
444,50	0,159
445,00	0,159
445,50	0,158
446,00	0,159
446,50	0,158
447,00	0,158
447,50	0,158
448,00	0,158
448,50	0,158
449,00	0,158
449,50	0,158
450,00	0,159
450,50	0,158
451,00	0,158
451,50	0,158
452,00	0,158
452,50	0,158
453,00	0,158
453,50	0,158
454,00	0,158
454,50	0,158
455,00	0,159
455,50	0,159
456,00	0,159
456,50	0,159
457,00	0,159
457,50	0,159
458,00	0,159
458,50	0,159
459,00	0,159
459,50	0,159
460,00	0,160
460,50	0,160
461,00	0,160
461,50	0,160
462,00	0,160
462,50	0,160
463,00	0,160
463,50	0,161
464,00	0,161
464,50	0,161
465,00	0,161
465,50	0,161
466,00	0,162
466,50	0,162
467,00	0,162
467,50	0,162
468,00	0,163
468,50	0,163
469,00	0,163
469,50	0,163
470,00	0,164
470,50	0,164
471,00	0,164
471,50	0,165
472,00	0,165
472,50	0,165
473,00	0,166
473,50	0,166
474,00	0,166
474,50	0,167
475,00	0,167
475,50	0,168
476,00	0,168
476,50	0,169
477,00	0,169
477,50	0,170
478,00	0,170
478,50	0,171
479,00	0,172
479,50	0,172
480,00	0,173
480,50	0,174
481,00	0,174
481,50	0,175
482,00	0,176
482,50	0,177
483,00	0,178
483,50	0,178
484,00	0,179
484,50	0,180
485,00	0,181
485,50	0,182
486,00	0,183
486,50	0,184
487,00	0,185
487,50	0,187
488,00	0,188
488,50	0,189
489,00	0,190
489,50	0,192
490,00	0,193
490,50	0,194
491,00	0,196
491,50	0,197
492,00	0,199
492,50	0,201
493,00	0,203
493,50	0,204
494,00	0,206
494,50	0,208
495,00	0,210
495,50	0,212
496,00	0,214
496,50	0,216
497,00	0,218
497,50	0,220
498,00	0,222
498,50	0,224
499,00	0,226
499,50	0,228
500,00	0,230
500,50	0,232
501,00	0,235
501,50	0,237
502,00	0,239
502,50	0,241
503,00	0,244
503,50	0,246
504,00	0,249
504,50	0,251
505,00	0,253
505,50	0,256
506,00	0,258
506,50	0,261
507,00	0,263
507,50	0,265
508,00	0,268
508,50	0,270
509,00	0,272
509,50	0,275
510,00	0,277
510,50	0,279
511,00	0,282
511,50	0,284
512,00	0,286
512,50	0,288
513,00	0,291
513,50	0,293
514,00	0,295
514,50	0,297
515,00	0,299
515,50	0,301
516,00	0,303
516,50	0,305
517,00	0,307
517,50	0,308
518,00	0,310
518,50	0,312
519,00	0,313
519,50	0,314
520,00	0,316
520,50	0,317
521,00	0,319
521,50	0,320
522,00	0,321
522,50	0,322
523,00	0,323
523,50	0,324
524,00	0,324
524,50	0,325
525,00	0,326
525,50	0,326
526,00	0,327
526,50	0,327
527,00	0,328
527,50	0,328
528,00	0,328
528,50	0,328
529,00	0,329
529,50	0,329
530,00	0,329
530,50	0,329
531,00	0,328
531,50	0,328
532,00	0,328
532,50	0,328
533,00	0,327
533,50	0,327
534,00	0,326
534,50	0,326
535,00	0,325
535,50	0,325
536,00	0,324
536,50	0,323
537,00	0,322
537,50	0,321
538,00	0,320
538,50	0,319
539,00	0,318
539,50	0,317
540,00	0,316
540,50	0,314
541,00	0,313
541,50	0,311
542,00	0,310
542,50	0,309
543,00	0,307
543,50	0,305
544,00	0,304
544,50	0,302
545,00	0,301
545,50	0,299
546,00	0,297
546,50	0,295
547,00	0,293
547,50	0,291
548,00	0,289
548,50	0,287
549,00	0,285
549,50	0,283
550,00	0,281
550,50	0,279
551,00	0,277
551,50	0,275
552,00	0,273
552,50	0,271
553,00	0,269
553,50	0,266
554,00	0,264
554,50	0,262
555,00	0,259
555,50	0,257
556,00	0,255
556,50	0,253
557,00	0,250
557,50	0,248
558,00	0,245
558,50	0,243
559,00	0,241
559,50	0,238
560,00	0,236
560,50	0,233
561,00	0,231
561,50	0,228
562,00	0,226
562,50	0,223
563,00	0,221
563,50	0,218
564,00	0,216
564,50	0,213
565,00	0,211
565,50	0,208
566,00	0,206
566,50	0,203
567,00	0,201
567,50	0,198
568,00	0,196
568,50	0,193
569,00	0,191
569,50	0,188
570,00	0,186
570,50	0,184
571,00	0,181
571,50	0,179
572,00	0,176
572,50	0,174
573,00	0,172
573,50	0,170
574,00	0,167
574,50	0,165
575,00	0,163
575,50	0,161
576,00	0,158
576,50	0,156
577,00	0,154
577,50	0,152
578,00	0,150
578,50	0,147
579,00	0,145
579,50	0,143
580,00	0,141
580,50	0,139
581,00	0,137
581,50	0,135
582,00	0,133
582,50	0,131
583,00	0,129
583,50	0,128
584,00	0,126
584,50	0,124
585,00	0,122
585,50	0,120
586,00	0,119
586,50	0,117
587,00	0,115
587,50	0,113
588,00	0,111
588,50	0,110
589,00	0,108
589,50	0,107
590,00	0,105
590,50	0,103
591,00	0,102
591,50	0,100
592,00	0,099
592,50	0,097
593,00	0,096
593,50	0,094
594,00	0,093
594,50	0,091
595,00	0,090
595,50	0,089
596,00	0,087
596,50	0,086
