"0.6ml_ - Dataset 231025"
"Wavelength nm."	"Abs."
200,00	0,777
200,50	0,777
201,00	0,777
201,50	0,777
202,00	0,777
202,50	0,777
203,00	0,777
203,50	0,777
204,00	0,777
204,50	1,057
205,00	1,298
205,50	1,230
206,00	1,183
206,50	1,661
207,00	1,779
207,50	1,824
208,00	1,863
208,50	1,409
209,00	1,547
209,50	1,671
210,00	1,571
210,50	1,357
211,00	1,110
211,50	0,594
212,00	0,754
212,50	1,085
213,00	0,954
213,50	0,714
214,00	0,683
214,50	0,442
215,00	0,305
215,50	0,095
216,00	-0,518
216,50	-0,570
217,00	-0,331
217,50	0,191
218,00	0,565
218,50	0,517
219,00	1,176
219,50	1,584
220,00	1,540
220,50	1,966
221,00	2,236
221,50	2,359
222,00	2,564
222,50	2,315
223,00	2,101
223,50	1,671
224,00	1,154
224,50	1,212
225,00	0,433
225,50	0,491
226,00	0,687
226,50	0,363
227,00	1,283
227,50	1,100
228,00	1,450
228,50	2,317
229,00	2,664
229,50	2,764
230,00	3,068
230,50	2,945
231,00	2,918
231,50	2,503
232,00	2,113
232,50	1,505
233,00	0,428
233,50	0,145
234,00	0,682
234,50	0,275
235,00	1,036
235,50	1,189
236,00	1,929
236,50	2,168
237,00	2,344
237,50	2,328
238,00	2,457
238,50	2,326
239,00	2,208
239,50	1,684
240,00	1,235
240,50	0,631
241,00	0,016
241,50	0,044
242,00	0,196
242,50	-0,147
243,00	0,144
243,50	0,204
244,00	0,253
244,50	-0,089
245,00	0,299
245,50	0,433
246,00	0,249
246,50	0,680
247,00	1,059
247,50	1,233
248,00	1,063
248,50	1,469
249,00	1,847
249,50	2,082
250,00	2,172
250,50	2,087
251,00	1,934
251,50	1,796
252,00	1,427
252,50	1,028
253,00	1,195
253,50	0,402
254,00	0,243
254,50	0,656
255,00	0,665
255,50	0,652
256,00	0,556
256,50	0,683
257,00	1,076
257,50	1,357
258,00	1,720
258,50	1,714
259,00	1,641
259,50	1,517
260,00	1,285
260,50	1,005
261,00	0,661
261,50	0,297
262,00	0,591
262,50	0,155
263,00	0,358
263,50	0,501
264,00	0,472
264,50	0,450
265,00	1,012
265,50	0,843
266,00	0,898
266,50	1,394
267,00	1,713
267,50	1,985
268,00	2,007
268,50	1,955
269,00	1,877
269,50	1,738
270,00	1,504
270,50	0,785
271,00	1,306
271,50	1,292
272,00	1,134
272,50	0,958
273,00	0,708
273,50	0,385
274,00	0,625
274,50	1,093
275,00	1,019
275,50	0,982
276,00	0,807
276,50	0,693
277,00	0,500
