"1mlsmoothing - Dataset 200757"
"Wavelength nm."	"Abs."
200,00	2,995
200,50	2,995
201,00	2,995
201,50	2,995
202,00	2,995
202,50	2,995
203,00	2,995
203,50	2,995
204,00	2,995
204,50	3,040
205,00	2,855
205,50	3,109
206,00	3,414
206,50	3,267
207,00	2,900
207,50	1,957
208,00	1,228
208,50	1,554
209,00	1,826
209,50	1,823
210,00	1,195
210,50	1,082
211,00	1,334
211,50	1,763
212,00	2,426
212,50	2,469
213,00	2,483
213,50	2,173
214,00	1,523
214,50	1,427
215,00	1,158
215,50	0,760
216,00	0,524
216,50	1,084
217,00	1,195
217,50	1,411
218,00	1,226
218,50	1,730
219,00	1,716
219,50	1,393
220,00	1,246
220,50	1,526
221,00	1,701
221,50	1,697
222,00	1,659
222,50	1,706
223,00	1,905
223,50	1,964
224,00	1,457
224,50	2,134
225,00	1,921
225,50	2,166
226,00	1,886
226,50	2,107
227,00	2,149
227,50	1,970
228,00	1,851
228,50	2,707
229,00	2,715
229,50	2,574
230,00	2,203
230,50	1,652
231,00	1,824
231,50	1,006
232,00	0,679
232,50	0,928
233,00	0,248
233,50	0,728
234,00	0,443
234,50	1,359
235,00	1,792
235,50	1,923
236,00	2,062
236,50	2,706
237,00	2,480
237,50	2,264
238,00	2,026
238,50	1,634
239,00	1,256
239,50	0,640
240,00	0,611
240,50	0,339
241,00	-0,268
241,50	-0,192
242,00	-0,398
242,50	-0,022
243,00	-0,018
243,50	-0,048
244,00	-0,346
244,50	-0,085
245,00	0,131
245,50	0,375
246,00	0,580
246,50	0,792
247,00	0,845
247,50	0,938
248,00	0,929
248,50	0,971
249,00	0,366
249,50	0,180
250,00	0,509
250,50	0,787
251,00	0,969
251,50	0,650
252,00	0,926
252,50	1,657
253,00	1,975
253,50	2,172
254,00	1,861
254,50	2,179
255,00	2,131
255,50	1,960
256,00	1,800
256,50	1,516
257,00	1,027
257,50	1,082
258,00	1,296
258,50	0,758
259,00	0,883
259,50	0,668
260,00	1,035
260,50	0,539
261,00	0,697
261,50	0,741
262,00	0,269
262,50	0,981
263,00	0,918
263,50	1,441
264,00	1,607
264,50	2,155
265,00	2,394
265,50	2,609
266,00	2,629
266,50	2,572
267,00	2,948
267,50	2,551
268,00	2,107
268,50	1,581
269,00	1,177
269,50	0,948
270,00	0,517
270,50	0,650
271,00	0,377
271,50	0,624
272,00	0,399
272,50	0,424
273,00	0,635
273,50	0,891
274,00	1,100
274,50	1,241
275,00	1,337
275,50	1,247
276,00	1,040
276,50	0,856
277,00	0,570
277,50	0,928
278,00	0,881
278,50	0,750
279,00	0,544
279,50	0,311
280,00	0,046
280,50	-0,262
281,00	0,079
281,50	0,048
282,00	0,100
282,50	0,124
283,00	0,192
283,50	0,101
284,00	0,079
284,50	0,131
285,00	0,164
285,50	0,202
286,00	0,226
286,50	0,218
287,00	0,206
287,50	0,219
288,00	0,223
288,50	0,216
289,00	0,217
289,50	0,217
290,00	0,212
290,50	0,211
291,00	0,210
291,50	0,208
292,00	0,207
292,50	0,207
293,00	0,207
293,50	0,209
294,00	0,211
294,50	0,215
295,00	0,217
295,50	0,222
296,00	0,228
296,50	0,233
297,00	0,235
297,50	0,236
298,00	0,237
298,50	0,236
299,00	0,236
299,50	0,236
300,00	0,235
300,50	0,233
301,00	0,232
301,50	0,232
302,00	0,231
302,50	0,230
303,00	0,230
303,50	0,229
304,00	0,229
304,50	0,228
305,00	0,228
305,50	0,227
306,00	0,227
306,50	0,226
307,00	0,226
307,50	0,226
308,00	0,225
308,50	0,225
309,00	0,224
309,50	0,224
310,00	0,223
310,50	0,223
311,00	0,222
311,50	0,222
312,00	0,222
312,50	0,221
313,00	0,220
313,50	0,219
314,00	0,219
314,50	0,218
315,00	0,218
315,50	0,217
316,00	0,217
316,50	0,216
317,00	0,216
317,50	0,216
318,00	0,215
318,50	0,215
319,00	0,214
319,50	0,214
320,00	0,213
320,50	0,213
321,00	0,212
321,50	0,212
322,00	0,211
322,50	0,211
323,00	0,210
323,50	0,210
324,00	0,210
324,50	0,209
325,00	0,209
325,50	0,209
326,00	0,209
326,50	0,208
327,00	0,208
327,50	0,208
328,00	0,208
328,50	0,207
329,00	0,207
329,50	0,207
330,00	0,206
330,50	0,206
331,00	0,205
331,50	0,205
332,00	0,205
332,50	0,204
333,00	0,204
333,50	0,204
334,00	0,204
334,50	0,203
335,00	0,203
335,50	0,203
336,00	0,203
336,50	0,203
337,00	0,202
337,50	0,202
338,00	0,202
338,50	0,202
339,00	0,201
339,50	0,201
340,00	0,201
340,50	0,201
341,00	0,201
341,50	0,201
342,00	0,201
342,50	0,201
343,00	0,201
343,50	0,201
344,00	0,201
344,50	0,200
345,00	0,200
345,50	0,200
346,00	0,200
346,50	0,200
347,00	0,200
347,50	0,200
348,00	0,200
348,50	0,200
349,00	0,199
349,50	0,199
350,00	0,199
350,50	0,199
351,00	0,199
351,50	0,199
352,00	0,199
352,50	0,198
353,00	0,198
353,50	0,198
354,00	0,198
354,50	0,198
355,00	0,197
355,50	0,197
356,00	0,197
356,50	0,197
357,00	0,197
357,50	0,197
358,00	0,197
358,50	0,197
359,00	0,197
359,50	0,197
360,00	0,196
360,50	0,196
361,00	0,196
361,50	0,196
362,00	0,196
362,50	0,195
363,00	0,195
363,50	0,195
364,00	0,195
364,50	0,194
365,00	0,194
365,50	0,194
366,00	0,194
366,50	0,194
367,00	0,193
367,50	0,193
368,00	0,193
368,50	0,192
369,00	0,192
369,50	0,192
370,00	0,192
370,50	0,192
371,00	0,192
371,50	0,192
372,00	0,192
372,50	0,191
373,00	0,191
373,50	0,191
374,00	0,191
374,50	0,191
375,00	0,190
375,50	0,190
376,00	0,190
376,50	0,189
377,00	0,189
377,50	0,189
378,00	0,189
378,50	0,188
379,00	0,188
379,50	0,188
380,00	0,188
380,50	0,188
381,00	0,188
381,50	0,188
382,00	0,187
382,50	0,187
383,00	0,187
383,50	0,186
384,00	0,186
384,50	0,186
385,00	0,185
385,50	0,185
386,00	0,185
386,50	0,185
387,00	0,184
387,50	0,184
388,00	0,184
388,50	0,184
389,00	0,184
389,50	0,183
390,00	0,183
390,50	0,183
391,00	0,183
391,50	0,183
392,00	0,182
392,50	0,182
393,00	0,182
393,50	0,182
394,00	0,181
394,50	0,181
395,00	0,181
395,50	0,181
396,00	0,180
396,50	0,180
397,00	0,180
397,50	0,180
398,00	0,180
398,50	0,180
399,00	0,179
399,50	0,179
400,00	0,179
400,50	0,179
401,00	0,178
401,50	0,178
402,00	0,178
402,50	0,178
403,00	0,178
403,50	0,177
404,00	0,177
404,50	0,177
405,00	0,177
405,50	0,177
406,00	0,177
406,50	0,177
407,00	0,176
407,50	0,176
408,00	0,176
408,50	0,176
409,00	0,176
409,50	0,176
410,00	0,175
410,50	0,175
411,00	0,175
411,50	0,175
412,00	0,175
412,50	0,175
413,00	0,174
413,50	0,174
414,00	0,174
414,50	0,174
415,00	0,174
415,50	0,174
416,00	0,174
416,50	0,174
417,00	0,174
417,50	0,174
418,00	0,174
418,50	0,174
419,00	0,174
419,50	0,173
420,00	0,173
420,50	0,173
421,00	0,173
421,50	0,173
422,00	0,173
422,50	0,173
423,00	0,173
423,50	0,173
424,00	0,173
424,50	0,173
425,00	0,173
425,50	0,173
426,00	0,173
426,50	0,172
427,00	0,172
427,50	0,172
428,00	0,172
428,50	0,172
429,00	0,172
429,50	0,172
430,00	0,172
430,50	0,172
431,00	0,172
431,50	0,172
432,00	0,172
432,50	0,172
433,00	0,172
433,50	0,172
434,00	0,172
434,50	0,172
435,00	0,172
435,50	0,172
436,00	0,172
436,50	0,172
437,00	0,173
437,50	0,173
438,00	0,173
438,50	0,173
439,00	0,173
439,50	0,173
440,00	0,173
440,50	0,173
441,00	0,173
441,50	0,173
442,00	0,173
442,50	0,173
443,00	0,173
443,50	0,173
444,00	0,173
444,50	0,173
445,00	0,174
445,50	0,174
446,00	0,174
446,50	0,174
447,00	0,174
447,50	0,174
448,00	0,175
448,50	0,175
449,00	0,175
449,50	0,175
450,00	0,175
450,50	0,175
451,00	0,175
451,50	0,175
452,00	0,176
452,50	0,176
453,00	0,176
453,50	0,176
454,00	0,176
454,50	0,177
455,00	0,177
455,50	0,177
456,00	0,178
456,50	0,178
457,00	0,178
457,50	0,178
458,00	0,179
458,50	0,179
459,00	0,179
459,50	0,179
460,00	0,180
460,50	0,180
461,00	0,180
461,50	0,181
462,00	0,181
462,50	0,182
463,00	0,182
463,50	0,182
464,00	0,183
464,50	0,183
465,00	0,184
465,50	0,184
466,00	0,185
466,50	0,185
467,00	0,186
467,50	0,186
468,00	0,187
468,50	0,187
