"1 - Dataset 195837"
"Wavelength nm."	"Abs."
200,00	2,380
200,50	2,380
201,00	2,380
201,50	2,380
202,00	2,380
202,50	2,380
203,00	2,380
203,50	2,380
204,00	2,380
204,50	2,061
205,00	2,294
205,50	2,249
206,00	2,048
206,50	1,218
207,00	1,612
207,50	2,050
208,00	1,596
208,50	2,314
209,00	1,946
209,50	2,168
210,00	1,562
210,50	1,819
211,00	2,133
211,50	2,840
212,00	2,858
212,50	2,494
213,00	2,862
213,50	3,250
214,00	3,407
214,50	3,277
215,00	3,623
215,50	3,321
216,00	2,773
216,50	2,730
217,00	2,083
217,50	1,975
218,00	1,247
218,50	0,659
219,00	0,931
219,50	0,693
220,00	-0,058
220,50	-0,047
221,00	0,379
221,50	0,615
222,00	1,060
222,50	1,034
223,00	1,600
223,50	1,626
224,00	2,201
224,50	2,588
225,00	2,700
225,50	2,668
226,00	2,466
226,50	2,100
227,00	2,285
227,50	1,987
228,00	1,474
228,50	1,480
229,00	0,987
229,50	0,028
230,00	0,318
230,50	0,100
231,00	0,437
231,50	-0,023
232,00	0,768
232,50	0,993
233,00	1,173
233,50	1,348
234,00	1,524
234,50	1,556
235,00	1,518
235,50	1,385
236,00	1,242
236,50	0,983
237,00	0,639
237,50	-0,099
238,00	0,420
238,50	0,332
239,00	0,462
239,50	0,419
240,00	0,508
240,50	0,829
241,00	0,736
241,50	1,208
242,00	1,611
242,50	1,829
243,00	1,924
243,50	1,547
244,00	1,846
244,50	1,482
245,00	1,595
245,50	1,621
246,00	2,115
246,50	2,067
247,00	2,171
247,50	1,855
248,00	1,270
248,50	1,484
249,00	1,234
249,50	1,513
250,00	0,993
250,50	1,039
251,00	0,847
251,50	0,530
252,00	0,924
252,50	0,191
253,00	0,756
253,50	0,978
254,00	0,983
254,50	0,975
255,00	1,006
255,50	0,895
256,00	0,717
256,50	0,649
257,00	0,479
257,50	0,247
258,00	-0,021
258,50	0,353
259,00	-0,184
259,50	-0,397
260,00	-0,005
260,50	0,077
261,00	0,832
261,50	1,198
262,00	1,302
262,50	1,586
263,00	1,740
263,50	1,296
264,00	1,091
