"1.2ml - Dataset 231347"
"Wavelength nm."	"Abs."
200,00	2,514
200,50	2,514
201,00	2,514
201,50	2,514
202,00	2,514
202,50	2,514
203,00	2,514
203,50	2,514
204,00	2,514
204,50	2,772
205,00	3,522
205,50	3,926
206,00	4,007
206,50	3,233
207,00	3,618
207,50	3,924
208,00	3,285
208,50	3,157
209,00	2,688
209,50	2,636
210,00	2,236
210,50	1,930
211,00	1,310
211,50	1,233
212,00	1,277
212,50	1,453
213,00	1,820
213,50	1,619
214,00	0,915
214,50	0,351
215,00	0,651
215,50	1,030
216,00	0,911
216,50	1,541
217,00	1,788
217,50	2,159
218,00	2,914
218,50	4,024
219,00	4,054
219,50	4,693
220,00	4,905
220,50	4,813
221,00	4,379
221,50	3,694
222,00	2,894
222,50	2,044
223,00	1,905
223,50	1,855
224,00	1,088
224,50	0,854
225,00	0,402
225,50	0,385
226,00	0,803
226,50	1,310
227,00	1,656
227,50	2,467
228,00	2,633
228,50	2,313
229,00	2,526
229,50	2,225
230,00	2,395
230,50	2,355
231,00	2,778
231,50	2,720
232,00	1,962
232,50	1,385
233,00	0,872
233,50	1,512
234,00	1,702
234,50	2,693
235,00	2,982
235,50	3,093
236,00	2,907
236,50	2,185
237,00	2,220
237,50	2,242
238,00	2,828
238,50	2,867
239,00	2,225
239,50	2,117
240,00	1,684
240,50	1,605
241,00	1,336
241,50	1,913
242,00	1,709
242,50	2,202
243,00	2,043
243,50	1,811
244,00	1,372
244,50	0,839
245,00	0,876
245,50	1,037
246,00	0,815
246,50	0,443
247,00	-0,021
247,50	-0,221
248,00	-0,182
248,50	-0,700
249,00	-0,446
249,50	-0,049
250,00	0,506
250,50	1,123
251,00	1,525
251,50	1,828
252,00	2,005
252,50	2,080
253,00	2,116
253,50	1,887
254,00	1,606
254,50	0,784
255,00	0,529
255,50	0,119
256,00	0,300
256,50	-0,043
257,00	0,187
257,50	0,028
258,00	0,517
258,50	0,625
259,00	0,636
259,50	0,567
260,00	0,495
260,50	0,475
261,00	-0,036
261,50	0,024
262,00	-0,384
262,50	-0,167
263,00	0,599
263,50	0,839
264,00	0,707
264,50	1,136
265,00	1,477
265,50	1,788
266,00	1,946
266,50	1,619
267,00	1,777
267,50	1,833
268,00	1,882
268,50	1,697
269,00	1,263
269,50	1,387
270,00	1,073
270,50	1,192
271,00	0,828
271,50	0,080
272,00	-0,049
272,50	0,383
273,00	0,448
273,50	0,411
274,00	0,301
274,50	0,150
275,00	0,670
275,50	0,861
276,00	0,946
276,50	0,852
277,00	0,810
277,50	0,695
278,00	0,551
278,50	0,191
279,00	-0,057
279,50	-0,359
280,00	0,009
280,50	-0,005
281,00	0,038
281,50	0,040
282,00	0,058
282,50	0,118
283,00	0,177
283,50	0,193
284,00	0,175
284,50	0,214
285,00	0,272
285,50	0,253
286,00	0,245
286,50	0,246
287,00	-0,111
287,50	-0,216
288,00	0,311
288,50	0,753
289,00	1,104
289,50	1,339
290,00	1,488
290,50	1,594
