"1.2ml smoothing - Dataset 215511"
"Wavelength nm."	"Abs."
200,00	1,910
200,50	1,910
201,00	1,910
201,50	1,910
202,00	1,910
202,50	1,910
203,00	1,910
203,50	1,910
204,00	1,910
204,50	1,553
205,00	0,600
205,50	0,164
206,00	0,371
206,50	0,710
207,00	1,284
207,50	1,069
208,00	0,694
208,50	0,849
209,00	0,538
209,50	0,368
210,00	1,032
210,50	1,794
211,00	1,984
211,50	2,668
212,00	2,680
212,50	3,118
213,00	3,350
213,50	4,001
214,00	4,086
214,50	3,942
215,00	3,452
215,50	2,922
216,00	1,990
216,50	1,479
217,00	0,460
217,50	-0,305
218,00	-0,241
218,50	-0,354
219,00	-0,363
219,50	0,273
220,00	0,441
220,50	0,811
221,00	1,040
221,50	1,736
222,00	2,315
222,50	2,790
223,00	2,976
223,50	3,013
224,00	2,694
224,50	2,317
225,00	1,515
225,50	0,892
226,00	1,393
226,50	1,308
227,00	1,747
227,50	1,686
228,00	1,443
228,50	1,014
229,00	1,124
229,50	1,463
230,00	1,433
230,50	1,245
231,00	1,023
231,50	0,313
232,00	0,353
232,50	-0,282
233,00	-0,210
233,50	0,339
234,00	0,665
234,50	0,781
235,00	1,453
235,50	1,931
236,00	1,902
236,50	2,427
237,00	2,672
237,50	2,923
238,00	2,922
238,50	2,742
239,00	2,505
239,50	2,017
240,00	2,000
240,50	1,419
241,00	1,406
241,50	0,815
242,00	0,147
242,50	0,165
243,00	0,275
243,50	-0,003
244,00	-0,309
244,50	-0,381
245,00	-0,222
245,50	0,087
246,00	0,241
246,50	0,498
247,00	0,663
247,50	0,773
248,00	0,819
248,50	0,827
249,00	0,454
249,50	0,761
250,00	0,971
250,50	0,696
251,00	1,004
251,50	1,043
252,00	0,917
252,50	0,781
253,00	1,302
253,50	1,401
254,00	1,401
254,50	1,414
255,00	1,246
255,50	0,760
256,00	0,770
256,50	0,744
257,00	0,660
257,50	1,042
258,00	0,938
258,50	0,814
259,00	1,237
259,50	1,024
260,00	0,517
260,50	0,744
261,00	0,485
261,50	0,786
262,00	0,995
262,50	1,101
263,00	0,936
263,50	1,013
264,00	1,551
264,50	1,657
265,00	1,720
265,50	1,575
266,00	1,457
266,50	1,122
267,00	0,697
267,50	0,271
268,00	-0,640
268,50	-0,244
269,00	-0,305
269,50	0,276
270,00	0,530
270,50	0,510
271,00	0,529
271,50	0,734
272,00	0,671
272,50	0,651
273,00	0,669
273,50	0,500
274,00	0,017
274,50	0,089
275,00	0,181
275,50	0,166
276,00	0,135
276,50	0,724
277,00	0,902
277,50	1,024
278,00	1,094
278,50	0,896
279,00	0,869
279,50	0,737
280,00	0,568
280,50	0,417
281,00	0,233
281,50	0,012
282,00	-0,174
282,50	0,265
283,00	0,306
283,50	0,352
284,00	0,448
284,50	0,493
285,00	0,522
285,50	0,485
286,00	0,470
286,50	0,445
287,00	0,458
287,50	0,436
288,00	0,430
288,50	0,420
289,00	0,428
289,50	0,434
290,00	0,439
290,50	0,449
