"1.4 - Dataset 200355"
"Wavelength nm."	"Abs."
200,00	0.596
200,50	0.582
201,00	0.572
201,50	0.562
202,00	0.556
202,50	0.547
203,00	0.54
203,50	0.534
204,00	0.524
204,50	0.518
205,00	0.515
205,50	0.508
206,00	0.501
206,50	0.5
207,00	0.493
207,50	0.487
208,00	0.483
208,50	0.481
209,00	0.476
209,50	0.471
210,00	0.468
210,50	0.464
211,00	0.459
211,50	0.456
212,00	0.451
212,50	0.447
213,00	0.444
213,50	0.438
214,00	0.435
214,50	0.43
215,00	0.426
215,50	0.421
216,00	0.418
216,50	0.413
217,00	0.411
217,50	0.408
218,00	0.403
218,50	0.4
219,00	0.397
219,50	0.393
220,00	0.391
220,50	0.389
221,00	0.385
221,50	0.381
222,00	0.378
222,50	0.375
223,00	0.374
223,50	0.371
224,00	0.368
224,50	0.365
225,00	0.364
225,50	0.362
226,00	0.359
226,50	0.359
227,00	0.355
227,50	0.354
228,00	0.353
228,50	0.351
229,00	0.35
229,50	0.349
230,00	0.346
230,50	0.346
231,00	0.343
231,50	0.342
232,00	0.342
232,50	0.339
233,00	0.339
233,50	0.338
234,00	0.337
234,50	0.335
235,00	0.334
235,50	0.334
236,00	0.333
236,50	0.333
237,00	0.332
237,50	0.332
238,00	0.33
238,50	0.329
239,00	0.33
239,50	0.329
240,00	0.328
240,50	0.328
241,00	0.327
241,50	0.327
242,00	0.326
242,50	0.325
243,00	0.326
243,50	0.325
244,00	0.325
244,50	0.324
245,00	0.324
245,50	0.323
246,00	0.322
246,50	0.322
247,00	0.321
247,50	0.321
248,00	0.32
248,50	0.319
249,00	0.318
249,50	0.318
250,00	0.318
250,50	0.319
251,00	0.317
251,50	0.318
252,00	0.317
252,50	0.316
253,00	0.315
253,50	0.315
254,00	0.314
254,50	0.312
255,00	0.313
255,50	0.312
256,00	0.311
256,50	0.311
257,00	0.31
257,50	0.309
258,00	0.309
258,50	0.309
259,00	0.307
259,50	0.306
260,00	0.306
260,50	0.305
261,00	0.303
261,50	0.302
262,00	0.302
262,50	0.301
263,00	0.301
263,50	0.299
264,00	0.298
264,50	0.297
265,00	0.296
265,50	0.295
266,00	0.294
266,50	0.292
267,00	0.292
267,50	0.291
268,00	0.29
268,50	0.288
269,00	0.287
