"1e-4 - Dataset 224702"
"Wavelength nm."	"Abs."
200,00	2,609
200,50	2,609
201,00	2,609
201,50	2,609
202,00	2,609
202,50	2,609
203,00	2,609
203,50	2,609
204,00	2,609
204,50	3,088
205,00	2,820
205,50	1,824
206,00	1,966
206,50	2,200
207,00	2,052
207,50	1,137
208,00	1,407
208,50	1,788
209,00	1,233
209,50	1,489
210,00	1,851
210,50	1,888
211,00	1,874
211,50	2,270
212,00	1,987
212,50	1,908
213,00	1,473
213,50	1,546
214,00	2,107
214,50	2,198
215,00	2,045
215,50	1,287
216,00	1,763
216,50	1,254
217,00	1,203
217,50	1,554
218,00	2,240
218,50	2,021
219,00	2,419
219,50	2,336
220,00	2,110
220,50	1,769
221,00	2,117
221,50	2,006
222,00	1,651
222,50	1,842
223,00	1,405
223,50	1,462
224,00	1,958
224,50	1,903
225,00	2,319
225,50	2,242
226,00	2,156
226,50	1,865
227,00	2,050
227,50	1,679
228,00	0,967
228,50	0,899
229,00	0,283
229,50	-0,102
230,00	0,274
230,50	0,769
231,00	0,369
231,50	1,282
232,00	1,497
232,50	1,790
233,00	1,960
233,50	2,024
234,00	1,949
234,50	1,796
235,00	1,429
235,50	1,000
236,00	0,476
236,50	0,614
237,00	0,287
237,50	0,551
238,00	0,040
238,50	0,078
239,00	-0,433
239,50	0,416
240,00	0,452
240,50	0,911
241,00	0,859
241,50	1,348
242,00	1,724
242,50	1,931
243,00	2,074
243,50	2,155
244,00	2,229
244,50	1,777
245,00	1,434
245,50	1,568
246,00	1,030
246,50	1,750
247,00	1,709
247,50	2,166
248,00	1,608
248,50	1,502
249,00	1,344
249,50	2,354
250,00	2,783
250,50	3,022
251,00	2,668
251,50	2,787
252,00	2,647
252,50	2,184
253,00	1,852
253,50	1,918
254,00	1,965
254,50	2,574
255,00	2,400
255,50	2,042
256,00	1,613
256,50	1,567
257,00	1,190
257,50	1,287
258,00	1,526
258,50	1,511
259,00	1,286
259,50	1,680
260,00	1,467
260,50	1,155
261,00	0,324
261,50	0,772
262,00	0,957
262,50	1,334
263,00	1,563
263,50	1,667
264,00	1,671
264,50	1,353
265,00	0,868
265,50	1,065
266,00	1,431
266,50	1,317
267,00	1,210
267,50	0,930
268,00	0,543
268,50	0,096
269,00	-0,394
269,50	-0,207
270,00	-0,539
270,50	-0,107
271,00	-0,104
271,50	-0,125
272,00	-0,187
272,50	-0,188
273,00	-0,176
273,50	-0,507
274,00	-0,227
274,50	0,064
275,00	0,263
275,50	0,400
276,00	0,612
276,50	0,742
277,00	0,824
277,50	0,910
278,00	0,908
278,50	0,929
279,00	0,828
279,50	0,702
280,00	0,506
280,50	0,356
281,00	0,112
281,50	-0,190
282,00	0,169
282,50	0,142
283,00	0,107
283,50	0,151
284,00	0,166
284,50	0,120
285,00	0,083
285,50	0,096
286,00	0,093
286,50	0,106
287,00	0,081
287,50	0,124
288,00	0,120
288,50	0,181
289,00	-0,169
289,50	0,095
290,00	0,383
290,50	0,618
291,00	0,813
291,50	0,945
292,00	1,026
292,50	1,051
293,00	1,039
293,50	0,979
294,00	0,878
294,50	0,729
295,00	0,562
295,50	0,408
296,00	0,166
296,50	-0,036
297,00	-0,326
297,50	0,048
298,00	0,096
298,50	0,105
299,00	0,118
299,50	0,110
300,00	0,113
300,50	0,110
301,00	0,112
301,50	0,116
302,00	0,122
302,50	0,125
303,00	0,128
303,50	0,128
304,00	0,132
304,50	0,126
305,00	0,131
305,50	0,127
306,00	0,118
306,50	0,115
307,00	0,116
307,50	0,112
308,00	0,114
308,50	0,108
309,00	0,105
309,50	0,108
310,00	0,110
310,50	0,110
311,00	0,110
311,50	0,110
312,00	0,110
312,50	0,106
313,00	0,111
313,50	0,109
314,00	0,108
314,50	0,108
315,00	0,111
315,50	0,109
316,00	0,109
316,50	0,109
317,00	0,110
317,50	0,112
318,00	0,112
318,50	0,116
319,00	0,115
319,50	0,113
320,00	0,113
320,50	0,111
321,00	0,111
321,50	0,109
322,00	0,109
322,50	0,108
323,00	0,108
323,50	0,108
324,00	0,107
324,50	0,110
325,00	0,110
325,50	0,111
326,00	0,111
326,50	0,115
327,00	0,113
327,50	0,112
328,00	0,111
328,50	0,109
329,00	0,109
329,50	0,109
330,00	0,110
330,50	0,109
331,00	0,109
331,50	0,108
332,00	0,108
332,50	0,109
333,00	0,107
333,50	0,109
334,00	0,110
334,50	0,109
335,00	0,107
335,50	0,107
336,00	0,104
336,50	0,103
337,00	0,104
337,50	0,104
338,00	0,107
338,50	0,107
339,00	0,106
339,50	0,106
340,00	0,107
340,50	0,106
341,00	0,107
341,50	0,109
342,00	0,110
342,50	0,109
343,00	0,110
343,50	0,108
344,00	0,106
344,50	0,106
345,00	0,106
345,50	0,106
346,00	0,106
346,50	0,104
347,00	0,103
347,50	0,102
348,00	0,101
348,50	0,100
349,00	0,102
349,50	0,102
350,00	0,103
350,50	0,103
351,00	0,104
351,50	0,104
352,00	0,105
352,50	0,104
353,00	0,103
353,50	0,103
354,00	0,102
354,50	0,101
355,00	0,100
355,50	0,100
356,00	0,101
356,50	0,100
357,00	0,099
357,50	0,098
358,00	0,096
358,50	0,097
359,00	0,096
359,50	0,098
360,00	0,098
360,50	0,097
361,00	0,097
361,50	0,098
362,00	0,100
362,50	0,100
363,00	0,101
363,50	0,101
364,00	0,099
364,50	0,098
365,00	0,096
365,50	0,095
366,00	0,094
366,50	0,096
367,00	0,097
367,50	0,099
368,00	0,099
368,50	0,101
369,00	0,100
369,50	0,100
370,00	0,099
370,50	0,098
371,00	0,097
371,50	0,095
372,00	0,093
372,50	0,092
373,00	0,091
373,50	0,090
374,00	0,091
374,50	0,093
375,00	0,094
375,50	0,096
376,00	0,095
376,50	0,096
377,00	0,094
377,50	0,094
378,00	0,094
378,50	0,093
379,00	0,093
379,50	0,093
380,00	0,092
380,50	0,092
381,00	0,091
381,50	0,091
382,00	0,091
382,50	0,091
383,00	0,091
383,50	0,091
384,00	0,091
384,50	0,092
385,00	0,092
385,50	0,092
386,00	0,092
386,50	0,092
387,00	0,091
387,50	0,092
388,00	0,090
388,50	0,090
389,00	0,091
389,50	0,092
390,00	0,092
390,50	0,092
391,00	0,093
391,50	0,093
392,00	0,093
392,50	0,093
393,00	0,094
393,50	0,093
394,00	0,092
394,50	0,091
395,00	0,091
395,50	0,091
396,00	0,091
396,50	0,091
397,00	0,091
397,50	0,091
398,00	0,091
398,50	0,091
399,00	0,090
399,50	0,090
400,00	0,090
400,50	0,089
401,00	0,089
401,50	0,087
402,00	0,087
402,50	0,087
403,00	0,088
403,50	0,087
404,00	0,086
404,50	0,087
405,00	0,087
405,50	0,087
406,00	0,088
406,50	0,089
407,00	0,089
407,50	0,090
408,00	0,090
408,50	0,090
409,00	0,091
409,50	0,090
410,00	0,090
410,50	0,089
411,00	0,089
411,50	0,089
412,00	0,089
412,50	0,089
413,00	0,088
413,50	0,089
414,00	0,090
414,50	0,090
415,00	0,090
415,50	0,089
416,00	0,089
416,50	0,089
417,00	0,088
417,50	0,088
418,00	0,088
418,50	0,088
419,00	0,088
419,50	0,088
420,00	0,088
420,50	0,088
421,00	0,088
421,50	0,089
422,00	0,089
422,50	0,088
423,00	0,088
423,50	0,087
424,00	0,086
424,50	0,086
425,00	0,085
425,50	0,085
426,00	0,085
426,50	0,085
427,00	0,085
427,50	0,085
428,00	0,086
428,50	0,086
429,00	0,087
429,50	0,087
430,00	0,087
430,50	0,087
431,00	0,086
431,50	0,086
432,00	0,086
432,50	0,087
433,00	0,088
433,50	0,087
434,00	0,087
434,50	0,087
435,00	0,087
435,50	0,086
436,00	0,087
436,50	0,087
437,00	0,087
437,50	0,087
438,00	0,087
438,50	0,087
439,00	0,087
439,50	0,087
440,00	0,088
440,50	0,088
441,00	0,089
441,50	0,087
442,00	0,087
442,50	0,087
443,00	0,086
443,50	0,086
444,00	0,086
444,50	0,086
445,00	0,086
445,50	0,087
446,00	0,088
446,50	0,087
447,00	0,087
447,50	0,087
448,00	0,087
448,50	0,087
449,00	0,087
449,50	0,086
450,00	0,087
450,50	0,087
451,00	0,087
451,50	0,088
452,00	0,089
452,50	0,090
453,00	0,090
453,50	0,091
454,00	0,091
454,50	0,091
455,00	0,091
455,50	0,090
456,00	0,090
456,50	0,090
457,00	0,089
457,50	0,088
458,00	0,088
458,50	0,088
459,00	0,087
459,50	0,088
460,00	0,087
460,50	0,089
461,00	0,089
461,50	0,090
462,00	0,090
462,50	0,091
463,00	0,092
463,50	0,092
464,00	0,092
464,50	0,092
465,00	0,091
465,50	0,092
466,00	0,093
466,50	0,093
467,00	0,093
467,50	0,093
468,00	0,093
468,50	0,094
469,00	0,094
469,50	0,094
470,00	0,094
470,50	0,094
471,00	0,094
471,50	0,093
472,00	0,093
472,50	0,094
