"1.62e-4 - Dataset 205825"
"Wavelength nm."	"Abs."
200,00	2,712
200,50	2,712
201,00	2,712
201,50	2,712
202,00	2,712
202,50	2,712
203,00	2,712
203,50	2,712
204,00	2,712
204,50	2,598
205,00	2,766
205,50	2,592
206,00	2,716
206,50	3,140
207,00	3,452
207,50	3,718
208,00	3,818
208,50	3,873
209,00	3,571
209,50	3,826
210,00	2,841
210,50	2,999
211,00	2,782
211,50	2,070
212,00	2,505
212,50	2,900
213,00	2,656
213,50	1,883
214,00	1,788
214,50	2,330
215,00	3,041
215,50	2,748
216,00	2,827
216,50	2,992
217,00	2,778
217,50	3,095
218,00	3,093
218,50	3,035
219,00	2,949
219,50	3,234
220,00	3,683
220,50	3,377
221,00	2,641
221,50	2,359
222,00	2,058
222,50	2,367
223,00	2,003
223,50	1,982
224,00	1,998
224,50	2,103
225,00	2,636
225,50	2,703
226,00	3,033
226,50	2,852
227,00	3,128
227,50	2,565
228,00	2,180
228,50	1,756
229,00	1,829
229,50	2,317
230,00	1,791
230,50	2,390
231,00	2,590
231,50	3,068
232,00	2,894
232,50	2,832
233,00	2,829
233,50	2,089
234,00	2,546
234,50	1,932
235,00	1,433
235,50	1,044
236,00	1,289
236,50	2,149
237,00	3,148
237,50	3,570
238,00	3,858
238,50	3,985
239,00	4,158
239,50	3,941
240,00	3,528
240,50	2,927
241,00	2,796
241,50	1,960
242,00	1,192
242,50	0,205
243,00	0,330
243,50	0,163
244,00	0,409
244,50	1,465
245,00	2,086
245,50	2,023
246,00	2,472
246,50	2,151
247,00	3,210
247,50	3,061
248,00	3,551
248,50	3,236
249,00	3,327
249,50	3,049
250,00	2,487
250,50	2,075
251,00	2,009
251,50	1,964
252,00	1,966
252,50	2,698
253,00	2,854
253,50	2,582
254,00	2,444
254,50	2,523
255,00	2,854
255,50	2,410
256,00	2,594
256,50	2,021
257,00	1,687
257,50	1,493
258,00	0,759
258,50	0,207
259,00	0,738
259,50	1,024
260,00	1,038
260,50	1,814
261,00	2,272
261,50	2,998
262,00	3,608
262,50	4,170
263,00	4,598
263,50	4,433
264,00	4,235
264,50	3,948
265,00	3,609
265,50	4,146
266,00	3,881
266,50	4,187
267,00	4,368
267,50	3,800
268,00	3,583
268,50	3,300
269,00	2,697
269,50	2,862
270,00	2,035
270,50	1,246
271,00	1,487
271,50	0,688
272,00	0,993
272,50	1,393
273,00	1,869
273,50	2,473
274,00	2,756
274,50	2,916
275,00	2,639
275,50	2,388
276,00	2,009
276,50	1,451
277,00	0,781
277,50	0,669
278,00	0,037
278,50	0,024
279,00	0,139
279,50	-0,110
280,00	0,280
280,50	0,314
281,00	0,317
281,50	0,319
282,00	0,313
282,50	0,156
283,00	0,085
283,50	0,180
284,00	0,179
284,50	0,185
285,00	0,172
285,50	0,182
286,00	0,191
286,50	0,203
287,00	0,193
287,50	0,185
288,00	0,181
288,50	0,184
289,00	0,189
289,50	0,187
290,00	0,186
290,50	0,187
291,00	0,188
291,50	0,187
292,00	0,187
292,50	0,186
293,00	0,186
293,50	0,185
294,00	0,184
294,50	0,185
295,00	0,184
295,50	0,183
296,00	0,183
296,50	0,183
297,00	0,184
297,50	0,183
298,00	0,184
298,50	0,184
299,00	0,184
299,50	0,184
300,00	0,183
300,50	0,182
301,00	0,181
301,50	0,180
302,00	0,179
302,50	0,179
303,00	0,178
303,50	0,178
304,00	0,178
304,50	0,178
305,00	0,177
305,50	0,177
306,00	0,177
306,50	0,177
307,00	0,176
307,50	0,176
308,00	0,175
308,50	0,175
309,00	0,174
309,50	0,173
310,00	0,173
310,50	0,173
311,00	0,172
311,50	0,172
312,00	0,172
312,50	0,171
313,00	0,171
313,50	0,171
314,00	0,171
314,50	0,170
315,00	0,170
315,50	0,169
316,00	0,169
316,50	0,169
317,00	0,168
317,50	0,168
318,00	0,167
318,50	0,167
319,00	0,167
319,50	0,166
320,00	0,166
320,50	0,166
321,00	0,166
321,50	0,165
322,00	0,165
322,50	0,165
323,00	0,165
323,50	0,164
324,00	0,164
324,50	0,164
325,00	0,164
325,50	0,163
326,00	0,163
326,50	0,163
327,00	0,162
327,50	0,162
328,00	0,161
328,50	0,161
329,00	0,161
329,50	0,160
330,00	0,160
330,50	0,160
331,00	0,160
331,50	0,160
332,00	0,160
332,50	0,160
333,00	0,160
333,50	0,160
334,00	0,160
334,50	0,160
335,00	0,160
335,50	0,159
336,00	0,159
336,50	0,159
337,00	0,158
337,50	0,158
338,00	0,158
338,50	0,158
339,00	0,158
339,50	0,157
340,00	0,157
340,50	0,157
341,00	0,157
341,50	0,157
342,00	0,157
342,50	0,156
343,00	0,156
343,50	0,156
344,00	0,156
344,50	0,156
345,00	0,156
345,50	0,156
346,00	0,156
346,50	0,156
347,00	0,156
347,50	0,155
348,00	0,155
348,50	0,155
349,00	0,155
349,50	0,155
350,00	0,155
350,50	0,155
351,00	0,155
351,50	0,155
352,00	0,154
352,50	0,154
353,00	0,154
353,50	0,154
354,00	0,154
354,50	0,154
355,00	0,154
355,50	0,154
356,00	0,153
356,50	0,153
357,00	0,153
357,50	0,153
358,00	0,153
358,50	0,153
359,00	0,153
359,50	0,153
360,00	0,152
360,50	0,152
361,00	0,152
361,50	0,152
362,00	0,152
362,50	0,152
363,00	0,152
363,50	0,152
364,00	0,151
364,50	0,151
365,00	0,151
365,50	0,151
366,00	0,151
366,50	0,151
367,00	0,151
367,50	0,151
368,00	0,151
368,50	0,151
369,00	0,151
369,50	0,151
370,00	0,151
370,50	0,151
371,00	0,150
371,50	0,150
372,00	0,150
372,50	0,150
373,00	0,150
373,50	0,150
374,00	0,149
374,50	0,149
375,00	0,149
375,50	0,149
376,00	0,149
376,50	0,149
377,00	0,148
377,50	0,148
378,00	0,148
378,50	0,148
379,00	0,148
379,50	0,148
380,00	0,148
380,50	0,147
381,00	0,147
381,50	0,147
382,00	0,147
382,50	0,147
383,00	0,146
383,50	0,146
384,00	0,146
384,50	0,146
385,00	0,146
385,50	0,145
386,00	0,145
386,50	0,145
387,00	0,145
387,50	0,145
388,00	0,145
388,50	0,144
389,00	0,144
389,50	0,144
390,00	0,144
390,50	0,144
391,00	0,144
391,50	0,143
392,00	0,143
392,50	0,143
393,00	0,143
393,50	0,143
394,00	0,143
394,50	0,142
395,00	0,142
395,50	0,142
396,00	0,142
396,50	0,142
397,00	0,141
397,50	0,141
398,00	0,141
398,50	0,141
399,00	0,141
399,50	0,141
400,00	0,141
400,50	0,141
401,00	0,141
401,50	0,140
402,00	0,140
402,50	0,140
403,00	0,140
403,50	0,140
404,00	0,140
404,50	0,139
405,00	0,139
405,50	0,139
406,00	0,139
406,50	0,139
407,00	0,139
407,50	0,139
408,00	0,139
408,50	0,139
409,00	0,138
409,50	0,138
410,00	0,138
410,50	0,138
411,00	0,138
411,50	0,138
412,00	0,138
412,50	0,138
413,00	0,137
413,50	0,137
414,00	0,137
414,50	0,137
415,00	0,137
415,50	0,137
416,00	0,137
416,50	0,137
417,00	0,137
417,50	0,137
418,00	0,137
418,50	0,137
419,00	0,137
419,50	0,137
420,00	0,137
420,50	0,137
421,00	0,136
421,50	0,136
422,00	0,136
422,50	0,136
423,00	0,136
423,50	0,136
424,00	0,136
424,50	0,136
425,00	0,136
425,50	0,136
426,00	0,136
426,50	0,136
427,00	0,136
427,50	0,136
428,00	0,136
428,50	0,135
429,00	0,135
429,50	0,135
