"0.25_1M - Dataset 182155"
"Wavelength nm."	"Abs."
200,00	-0,156
200,50	-0,156
201,00	-0,156
201,50	-0,156
202,00	-0,156
202,50	-0,156
203,00	-0,156
203,50	-0,156
204,00	-0,156
204,50	0,508
205,00	0,184
205,50	0,061
206,00	1,114
206,50	1,127
207,00	1,644
207,50	2,323
208,00	2,778
208,50	3,690
209,00	3,732
209,50	4,194
210,00	4,426
210,50	4,180
211,00	3,303
211,50	2,913
212,00	2,482
212,50	2,783
213,00	2,284
213,50	2,269
214,00	2,356
214,50	1,848
215,00	1,421
215,50	1,165
216,00	1,352
216,50	1,305
217,00	1,203
217,50	1,790
218,00	1,338
218,50	0,915
219,00	1,064
219,50	1,645
220,00	1,393
220,50	2,252
221,00	2,222
221,50	2,344
222,00	2,904
222,50	3,159
223,00	3,226
223,50	3,664
224,00	3,385
224,50	2,956
225,00	2,991
225,50	2,411
226,00	1,534
226,50	0,926
227,00	1,131
227,50	0,789
228,00	0,441
228,50	0,140
229,00	0,277
229,50	0,630
230,00	1,205
230,50	1,351
231,00	1,405
231,50	1,345
232,00	0,830
232,50	1,001
233,00	0,611
233,50	0,792
234,00	0,855
234,50	0,875
235,00	1,386
235,50	1,079
236,00	1,366
236,50	1,054
237,00	2,017
237,50	2,143
238,00	1,891
238,50	2,179
239,00	2,195
239,50	2,177
240,00	1,858
240,50	1,690
241,00	1,618
241,50	1,697
242,00	1,519
242,50	1,913
243,00	1,584
243,50	1,770
244,00	2,335
244,50	2,370
245,00	2,878
245,50	2,689
246,00	2,016
246,50	2,530
247,00	2,394
247,50	1,857
248,00	1,331
248,50	1,354
249,00	1,749
249,50	1,513
250,00	1,719
250,50	2,000
251,00	1,759
251,50	2,207
252,00	2,109
252,50	1,973
253,00	1,655
253,50	1,157
254,00	0,615
254,50	0,638
255,00	-0,227
255,50	-0,360
256,00	-0,053
256,50	0,577
257,00	0,585
257,50	0,584
258,00	0,499
258,50	0,475
259,00	0,107
259,50	-0,017
260,00	0,402
260,50	0,799
261,00	1,106
261,50	0,862
262,00	1,185
262,50	1,311
263,00	1,003
263,50	1,924
264,00	2,326
264,50	2,567
265,00	2,560
265,50	2,019
266,00	1,962
266,50	1,727
267,00	1,322
267,50	1,386
268,00	1,250
268,50	1,316
269,00	1,192
269,50	0,941
270,00	0,878
270,50	1,005
271,00	0,682
271,50	1,127
272,00	1,364
272,50	1,933
273,00	2,339
273,50	2,501
274,00	3,194
274,50	3,323
275,00	3,306
275,50	3,028
276,00	2,496
276,50	2,596
277,00	2,148
277,50	1,622
278,00	0,908
278,50	0,710
279,00	-0,056
279,50	-0,204
280,00	-0,133
280,50	0,207
281,00	0,188
281,50	0,177
282,00	0,171
282,50	0,158
283,00	0,131
283,50	0,107
284,00	0,026
284,50	0,106
285,00	0,114
285,50	0,145
286,00	0,145
286,50	0,129
287,00	0,124
287,50	0,134
288,00	0,135
288,50	0,140
289,00	0,135
289,50	0,139
290,00	0,141
290,50	0,140
291,00	0,138
291,50	0,137
292,00	0,137
292,50	0,135
293,00	0,133
293,50	0,132
294,00	0,132
294,50	0,131
295,00	0,132
295,50	0,134
296,00	0,136
296,50	0,137
297,00	0,137
297,50	0,137
298,00	0,137
298,50	0,137
299,00	0,138
299,50	0,139
300,00	0,139
300,50	0,139
301,00	0,139
301,50	0,140
302,00	0,140
302,50	0,139
303,00	0,139
303,50	0,138
304,00	0,138
304,50	0,138
305,00	0,138
305,50	0,138
306,00	0,138
306,50	0,138
307,00	0,138
307,50	0,138
308,00	0,138
308,50	0,138
309,00	0,138
