"0.25_1M(2) - Dataset 191141"
"Wavelength nm."	"Abs."
200,00	0,232
200,50	0,232
201,00	0,232
201,50	0,232
202,00	0,232
202,50	0,232
203,00	0,232
203,50	0,232
204,00	0,232
204,50	0,066
205,00	0,049
205,50	0,929
206,00	1,269
206,50	1,000
207,00	0,949
207,50	1,304
208,00	1,305
208,50	2,596
209,00	2,640
209,50	3,176
210,00	3,519
210,50	3,426
211,00	3,342
211,50	2,834
212,00	1,938
212,50	2,197
213,00	1,764
213,50	1,899
214,00	1,425
214,50	0,787
215,00	0,672
215,50	0,794
216,00	0,568
216,50	0,888
217,00	0,463
217,50	0,422
218,00	0,596
218,50	0,492
219,00	0,400
219,50	0,219
220,00	-0,286
220,50	0,389
221,00	0,243
221,50	0,408
222,00	1,107
222,50	1,670
223,00	2,082
223,50	2,363
224,00	2,460
224,50	2,458
225,00	2,207
225,50	1,506
226,00	2,035
226,50	1,949
227,00	1,689
227,50	1,325
228,00	0,742
228,50	0,653
229,00	0,406
229,50	0,472
230,00	0,787
230,50	0,267
231,00	0,372
231,50	0,422
232,00	0,090
232,50	0,331
233,00	0,459
233,50	0,506
234,00	1,223
234,50	1,034
235,00	1,413
235,50	1,303
236,00	1,706
236,50	1,636
237,00	1,835
237,50	2,201
238,00	2,060
238,50	2,364
239,00	3,027
239,50	3,211
240,00	3,127
240,50	3,110
241,00	3,175
241,50	2,673
242,00	2,279
242,50	2,256
243,00	2,576
243,50	1,859
244,00	2,171
244,50	2,089
245,00	2,436
245,50	2,347
246,00	2,327
246,50	2,813
247,00	2,674
247,50	2,133
248,00	1,955
248,50	1,712
249,00	1,790
249,50	1,361
250,00	1,411
250,50	1,616
251,00	0,860
251,50	0,750
252,00	1,130
252,50	1,173
253,00	1,020
253,50	0,609
254,00	0,891
254,50	0,306
255,00	-0,047
255,50	0,217
256,00	0,991
256,50	1,461
257,00	1,546
257,50	1,595
258,00	1,410
258,50	1,294
259,00	0,654
259,50	0,892
260,00	1,232
260,50	1,505
261,00	1,239
261,50	1,058
262,00	1,400
262,50	1,460
263,00	1,994
263,50	2,680
264,00	2,851
264,50	2,926
265,00	2,313
265,50	1,858
266,00	1,499
266,50	1,718
267,00	1,575
267,50	1,942
268,00	2,310
268,50	2,103
269,00	1,769
269,50	2,004
270,00	2,443
270,50	2,281
271,00	1,632
271,50	1,173
272,00	1,196
272,50	1,048
273,00	0,688
273,50	0,500
274,00	1,124
274,50	1,877
275,00	2,174
275,50	2,347
276,00	2,291
276,50	2,180
277,00	2,027
277,50	1,826
278,00	1,470
278,50	0,961
279,00	0,370
279,50	0,340
280,00	0,529
280,50	0,319
281,00	0,044
281,50	-0,211
282,00	0,156
282,50	0,132
283,00	0,146
283,50	0,137
284,00	0,094
284,50	0,071
285,00	0,067
285,50	0,117
286,00	0,115
286,50	0,132
287,00	0,135
287,50	0,139
288,00	0,139
288,50	0,145
289,00	0,143
289,50	0,148
290,00	0,151
290,50	0,152
291,00	0,152
291,50	0,150
292,00	0,146
292,50	0,143
293,00	0,138
293,50	0,135
294,00	0,133
294,50	0,131
295,00	0,132
295,50	0,133
296,00	0,135
296,50	0,138
297,00	0,141
297,50	0,143
298,00	0,146
298,50	0,147
299,00	0,149
299,50	0,151
300,00	0,152
300,50	0,152
301,00	0,153
301,50	0,153
302,00	0,153
302,50	0,153
303,00	0,152
303,50	0,152
304,00	0,152
304,50	0,152
305,00	0,152
305,50	0,152
306,00	0,152
306,50	0,152
307,00	0,152
307,50	0,152
308,00	0,152
308,50	0,152
309,00	0,152
309,50	0,152
310,00	0,152
310,50	0,152
311,00	0,151
311,50	0,151
312,00	0,151
312,50	0,151
313,00	0,150
313,50	0,150
314,00	0,150
314,50	0,149
315,00	0,149
315,50	0,149
316,00	0,149
316,50	0,148
317,00	0,148
317,50	0,148
318,00	0,148
318,50	0,148
319,00	0,148
319,50	0,148
320,00	0,147
320,50	0,147
321,00	0,147
321,50	0,146
322,00	0,146
322,50	0,146
323,00	0,146
323,50	0,145
324,00	0,145
324,50	0,145
325,00	0,145
325,50	0,145
326,00	0,144
326,50	0,144
327,00	0,144
327,50	0,144
328,00	0,144
328,50	0,144
329,00	0,143
329,50	0,143
330,00	0,143
330,50	0,143
331,00	0,142
331,50	0,142
332,00	0,142
332,50	0,142
333,00	0,142
333,50	0,142
334,00	0,142
334,50	0,142
335,00	0,142
335,50	0,142
336,00	0,142
336,50	0,142
337,00	0,141
337,50	0,141
338,00	0,141
338,50	0,141
339,00	0,141
339,50	0,140
340,00	0,140
340,50	0,140
341,00	0,140
341,50	0,140
342,00	0,140
342,50	0,140
343,00	0,140
343,50	0,140
344,00	0,140
344,50	0,140
345,00	0,139
345,50	0,139
346,00	0,139
346,50	0,139
347,00	0,139
347,50	0,139
348,00	0,139
348,50	0,139
349,00	0,139
349,50	0,139
350,00	0,139
350,50	0,139
351,00	0,138
351,50	0,138
352,00	0,138
352,50	0,138
353,00	0,138
353,50	0,138
354,00	0,138
354,50	0,138
355,00	0,138
355,50	0,138
356,00	0,138
356,50	0,138
357,00	0,138
357,50	0,138
358,00	0,138
358,50	0,138
359,00	0,138
359,50	0,138
360,00	0,138
360,50	0,138
361,00	0,138
361,50	0,138
362,00	0,138
362,50	0,138
363,00	0,138
363,50	0,138
364,00	0,138
364,50	0,138
365,00	0,138
365,50	0,138
366,00	0,138
366,50	0,138
367,00	0,138
367,50	0,138
368,00	0,138
368,50	0,138
369,00	0,138
369,50	0,138
370,00	0,138
370,50	0,138
371,00	0,138
371,50	0,138
372,00	0,138
372,50	0,138
373,00	0,138
373,50	0,138
374,00	0,138
374,50	0,138
375,00	0,138
375,50	0,138
376,00	0,138
376,50	0,138
377,00	0,138
377,50	0,138
378,00	0,138
378,50	0,138
379,00	0,138
379,50	0,138
380,00	0,138
380,50	0,138
381,00	0,138
381,50	0,138
382,00	0,138
382,50	0,138
383,00	0,138
383,50	0,138
384,00	0,138
384,50	0,138
385,00	0,138
385,50	0,138
386,00	0,137
386,50	0,137
387,00	0,137
387,50	0,137
388,00	0,137
388,50	0,137
389,00	0,137
389,50	0,137
390,00	0,137
390,50	0,137
391,00	0,137
391,50	0,137
392,00	0,137
392,50	0,137
393,00	0,137
393,50	0,137
394,00	0,137
394,50	0,137
395,00	0,137
395,50	0,137
396,00	0,137
396,50	0,137
397,00	0,137
397,50	0,137
398,00	0,137
398,50	0,137
399,00	0,137
399,50	0,137
400,00	0,137
400,50	0,137
401,00	0,137
401,50	0,137
402,00	0,136
402,50	0,136
403,00	0,136
403,50	0,136
404,00	0,136
404,50	0,136
405,00	0,136
405,50	0,136
406,00	0,136
406,50	0,136
407,00	0,136
407,50	0,136
408,00	0,136
408,50	0,136
409,00	0,136
409,50	0,136
410,00	0,136
410,50	0,136
411,00	0,135
411,50	0,135
412,00	0,135
412,50	0,135
413,00	0,135
413,50	0,135
414,00	0,135
414,50	0,135
415,00	0,135
415,50	0,135
416,00	0,135
416,50	0,135
417,00	0,135
417,50	0,135
418,00	0,135
418,50	0,135
419,00	0,135
419,50	0,134
420,00	0,134
420,50	0,134
421,00	0,134
421,50	0,134
422,00	0,134
422,50	0,134
423,00	0,134
423,50	0,134
424,00	0,134
424,50	0,133
425,00	0,133
425,50	0,133
426,00	0,133
426,50	0,133
427,00	0,133
427,50	0,133
428,00	0,133
428,50	0,133
429,00	0,133
429,50	0,133
430,00	0,133
430,50	0,133
431,00	0,133
431,50	0,133
432,00	0,133
432,50	0,133
433,00	0,133
433,50	0,133
434,00	0,133
434,50	0,133
435,00	0,133
435,50	0,133
436,00	0,132
436,50	0,132
437,00	0,132
437,50	0,132
438,00	0,132
438,50	0,132
439,00	0,132
439,50	0,132
440,00	0,132
440,50	0,132
441,00	0,132
441,50	0,132
442,00	0,131
442,50	0,131
443,00	0,131
443,50	0,131
444,00	0,131
444,50	0,131
445,00	0,131
445,50	0,131
446,00	0,131
446,50	0,131
447,00	0,131
447,50	0,131
448,00	0,130
