"0.5_e-1M - Dataset 184331"
"Wavelength nm."	"Abs."
200,00	0,410
200,50	0,410
201,00	0,410
201,50	0,410
202,00	0,410
202,50	0,410
203,00	0,410
203,50	0,410
204,00	0,410
204,50	0,404
205,00	0,185
205,50	0,644
206,00	0,733
206,50	0,273
207,00	1,075
207,50	1,439
208,00	1,300
208,50	1,741
209,00	1,536
209,50	1,856
210,00	1,733
210,50	1,943
211,00	1,776
211,50	2,118
212,00	1,988
212,50	2,935
213,00	3,165
213,50	3,365
214,00	3,352
214,50	2,998
215,00	3,108
215,50	2,698
216,00	1,615
216,50	1,756
217,00	1,186
217,50	0,767
218,00	0,518
218,50	0,318
219,00	0,467
219,50	1,059
220,00	0,759
220,50	1,659
221,00	1,609
221,50	1,798
222,00	2,349
222,50	2,411
223,00	2,945
223,50	3,183
224,00	2,711
224,50	3,373
225,00	3,383
225,50	3,075
226,00	3,233
226,50	2,759
227,00	2,803
227,50	2,294
228,00	1,611
228,50	1,407
229,00	0,800
229,50	0,536
230,00	0,392
230,50	-0,387
231,00	0,060
231,50	-0,010
232,00	-0,127
232,50	0,361
233,00	0,434
233,50	0,463
234,00	0,453
234,50	0,102
235,00	0,354
235,50	0,216
236,00	0,706
236,50	0,654
237,00	1,184
237,50	0,990
238,00	1,012
238,50	1,230
239,00	2,170
239,50	3,208
240,00	3,883
240,50	3,906
241,00	4,364
241,50	4,487
242,00	3,892
242,50	3,788
243,00	3,850
243,50	2,972
244,00	3,128
244,50	2,693
245,00	2,635
245,50	1,860
246,00	1,577
246,50	1,012
247,00	1,234
247,50	1,233
248,00	0,920
248,50	1,233
249,00	1,879
249,50	1,948
250,00	1,459
250,50	2,135
251,00	2,168
251,50	2,166
252,00	2,637
252,50	2,587
253,00	1,965
253,50	1,836
254,00	1,604
254,50	1,176
255,00	1,238
255,50	0,833
256,00	0,546
256,50	1,211
257,00	1,143
257,50	1,010
258,00	0,754
258,50	1,141
259,00	0,696
259,50	0,406
260,00	0,698
260,50	0,828
261,00	0,957
261,50	1,176
262,00	1,563
262,50	1,432
263,00	1,426
263,50	1,929
264,00	2,265
264,50	2,978
265,00	3,085
265,50	2,922
266,00	2,663
266,50	2,163
267,00	1,614
267,50	1,522
268,00	1,543
268,50	1,098
269,00	0,649
269,50	-0,002
270,00	0,011
270,50	-0,896
271,00	-0,884
271,50	-0,345
272,00	0,036
272,50	0,827
273,00	1,606
273,50	2,124
274,00	2,521
274,50	2,838
275,00	3,165
275,50	3,158
276,00	2,972
276,50	2,746
277,00	2,397
277,50	1,891
278,00	1,209
278,50	0,285
279,00	-0,063
279,50	-0,217
280,00	-0,127
280,50	0,220
281,00	0,198
281,50	0,149
282,00	0,097
282,50	0,165
283,00	0,189
283,50	0,181
284,00	0,161
284,50	0,208
285,00	0,242
285,50	0,286
286,00	0,286
286,50	0,280
287,00	0,280
287,50	0,289
288,00	0,302
288,50	0,300
289,00	0,297
289,50	0,301
290,00	0,310
290,50	0,312
291,00	0,312
291,50	0,310
292,00	0,307
292,50	0,303
293,00	0,297
293,50	0,294
294,00	0,291
294,50	0,286
295,00	0,283
295,50	0,282
296,00	0,282
296,50	0,282
297,00	0,282
297,50	0,283
298,00	0,285
298,50	0,285
299,00	0,286
299,50	0,286
300,00	0,286
300,50	0,286
301,00	0,286
301,50	0,285
302,00	0,284
302,50	0,284
303,00	0,283
303,50	0,282
304,00	0,281
304,50	0,280
305,00	0,280
305,50	0,279
306,00	0,278
306,50	0,277
307,00	0,277
307,50	0,277
308,00	0,276
308,50	0,275
309,00	0,275
309,50	0,274
310,00	0,274
310,50	0,273
311,00	0,272
311,50	0,271
312,00	0,270
312,50	0,269
313,00	0,268
313,50	0,267
314,00	0,267
314,50	0,266
315,00	0,265
315,50	0,264
316,00	0,264
316,50	0,263
317,00	0,263
317,50	0,262
318,00	0,262
318,50	0,261
319,00	0,261
319,50	0,260
320,00	0,259
320,50	0,258
321,00	0,258
321,50	0,257
322,00	0,256
322,50	0,255
323,00	0,254
323,50	0,254
324,00	0,253
324,50	0,253
325,00	0,252
325,50	0,252
326,00	0,251
326,50	0,251
327,00	0,251
327,50	0,250
328,00	0,250
328,50	0,249
329,00	0,249
329,50	0,248
330,00	0,247
330,50	0,247
331,00	0,246
331,50	0,245
332,00	0,245
332,50	0,245
333,00	0,244
333,50	0,244
334,00	0,243
334,50	0,243
335,00	0,243
335,50	0,242
336,00	0,242
336,50	0,242
337,00	0,241
337,50	0,241
338,00	0,241
338,50	0,241
339,00	0,240
339,50	0,240
340,00	0,240
340,50	0,239
341,00	0,239
341,50	0,239
342,00	0,239
342,50	0,238
343,00	0,238
343,50	0,238
344,00	0,238
344,50	0,238
345,00	0,237
345,50	0,237
346,00	0,237
346,50	0,237
347,00	0,237
347,50	0,237
348,00	0,237
348,50	0,237
349,00	0,237
349,50	0,237
350,00	0,237
350,50	0,237
351,00	0,237
351,50	0,237
352,00	0,237
352,50	0,237
353,00	0,236
353,50	0,236
354,00	0,236
354,50	0,236
355,00	0,236
355,50	0,236
356,00	0,236
356,50	0,236
357,00	0,236
357,50	0,236
358,00	0,236
358,50	0,235
359,00	0,235
359,50	0,235
360,00	0,235
360,50	0,235
361,00	0,235
361,50	0,235
362,00	0,235
362,50	0,235
363,00	0,235
363,50	0,235
364,00	0,235
364,50	0,234
365,00	0,234
365,50	0,234
366,00	0,234
366,50	0,234
367,00	0,234
367,50	0,233
368,00	0,233
368,50	0,233
369,00	0,233
369,50	0,233
370,00	0,233
370,50	0,233
371,00	0,232
371,50	0,232
372,00	0,232
372,50	0,232
373,00	0,232
373,50	0,232
374,00	0,231
374,50	0,231
375,00	0,231
375,50	0,231
376,00	0,231
376,50	0,231
377,00	0,231
377,50	0,231
378,00	0,230
378,50	0,230
379,00	0,230
379,50	0,230
380,00	0,229
380,50	0,229
381,00	0,229
381,50	0,228
382,00	0,228
382,50	0,228
383,00	0,228
383,50	0,227
384,00	0,227
384,50	0,227
385,00	0,227
385,50	0,226
386,00	0,226
386,50	0,226
387,00	0,226
387,50	0,225
388,00	0,225
388,50	0,225
389,00	0,224
389,50	0,224
390,00	0,224
390,50	0,224
391,00	0,224
391,50	0,223
392,00	0,223
392,50	0,223
393,00	0,223
393,50	0,222
394,00	0,222
394,50	0,222
395,00	0,222
395,50	0,221
396,00	0,221
396,50	0,221
397,00	0,221
397,50	0,221
398,00	0,220
398,50	0,220
399,00	0,220
399,50	0,219
400,00	0,219
400,50	0,219
401,00	0,219
401,50	0,218
402,00	0,218
402,50	0,218
403,00	0,218
403,50	0,217
404,00	0,217
404,50	0,217
405,00	0,217
405,50	0,217
406,00	0,216
406,50	0,216
407,00	0,216
407,50	0,216
408,00	0,216
408,50	0,215
409,00	0,215
409,50	0,215
410,00	0,215
410,50	0,214
411,00	0,214
411,50	0,214
412,00	0,214
412,50	0,214
413,00	0,213
413,50	0,213
414,00	0,213
414,50	0,213
415,00	0,213
415,50	0,213
416,00	0,212
416,50	0,212
417,00	0,212
417,50	0,212
418,00	0,212
418,50	0,212
419,00	0,211
419,50	0,211
420,00	0,211
420,50	0,211
421,00	0,211
421,50	0,211
422,00	0,210
422,50	0,210
423,00	0,210
423,50	0,210
424,00	0,210
424,50	0,210
425,00	0,209
425,50	0,209
426,00	0,209
426,50	0,209
427,00	0,209
427,50	0,209
428,00	0,209
428,50	0,209
429,00	0,208
429,50	0,208
430,00	0,208
430,50	0,208
431,00	0,208
431,50	0,208
432,00	0,208
432,50	0,208
433,00	0,208
433,50	0,208
434,00	0,208
434,50	0,208
435,00	0,208
435,50	0,207
436,00	0,207
436,50	0,207
437,00	0,207
437,50	0,207
438,00	0,207
438,50	0,207
439,00	0,207
439,50	0,207
440,00	0,207
440,50	0,207
441,00	0,207
441,50	0,207
442,00	0,207
442,50	0,207
443,00	0,207
443,50	0,207
444,00	0,206
444,50	0,206
445,00	0,206
445,50	0,206
446,00	0,206
446,50	0,206
447,00	0,206
447,50	0,206
448,00	0,206
448,50	0,207
449,00	0,206
449,50	0,206
450,00	0,206
450,50	0,207
451,00	0,207
451,50	0,207
452,00	0,207
452,50	0,207
453,00	0,207
453,50	0,207
454,00	0,207
454,50	0,207
455,00	0,207
455,50	0,208
456,00	0,208
456,50	0,208
457,00	0,208
457,50	0,208
458,00	0,208
458,50	0,208
459,00	0,209
459,50	0,209
460,00	0,209
460,50	0,209
461,00	0,209
461,50	0,209
462,00	0,210
462,50	0,210
463,00	0,210
463,50	0,210
464,00	0,211
464,50	0,211
465,00	0,211
465,50	0,212
466,00	0,212
466,50	0,212
467,00	0,213
467,50	0,213
468,00	0,213
468,50	0,214
469,00	0,214
469,50	0,214
470,00	0,215
470,50	0,215
471,00	0,216
471,50	0,216
472,00	0,217
472,50	0,217
473,00	0,218
473,50	0,218
474,00	0,219
474,50	0,219
475,00	0,220
475,50	0,220
476,00	0,221
476,50	0,222
477,00	0,222
477,50	0,223
478,00	0,224
478,50	0,225
479,00	0,225
479,50	0,226
480,00	0,227
480,50	0,228
481,00	0,229
481,50	0,229
482,00	0,230
482,50	0,231
483,00	0,232
483,50	0,233
484,00	0,234
484,50	0,236
485,00	0,237
485,50	0,238
486,00	0,239
486,50	0,240
487,00	0,242
487,50	0,243
488,00	0,245
488,50	0,246
489,00	0,247
489,50	0,249
490,00	0,250
490,50	0,252
491,00	0,254
491,50	0,255
492,00	0,257
492,50	0,259
493,00	0,261
493,50	0,262
494,00	0,264
494,50	0,266
495,00	0,268
495,50	0,270
496,00	0,272
496,50	0,274
497,00	0,276
497,50	0,278
498,00	0,280
498,50	0,282
499,00	0,284
499,50	0,287
500,00	0,289
500,50	0,291
501,00	0,293
501,50	0,295
502,00	0,298
502,50	0,300
503,00	0,302
503,50	0,304
504,00	0,306
504,50	0,309
505,00	0,311
505,50	0,313
506,00	0,315
506,50	0,317
507,00	0,319
507,50	0,321
508,00	0,323
508,50	0,325
509,00	0,327
509,50	0,330
510,00	0,332
510,50	0,333
511,00	0,335
511,50	0,337
512,00	0,339
512,50	0,341
513,00	0,343
513,50	0,345
514,00	0,346
514,50	0,348
515,00	0,350
515,50	0,351
516,00	0,353
516,50	0,354
517,00	0,356
517,50	0,357
518,00	0,358
518,50	0,359
519,00	0,360
519,50	0,361
520,00	0,362
520,50	0,363
521,00	0,364
521,50	0,365
522,00	0,366
522,50	0,366
523,00	0,367
523,50	0,367
524,00	0,368
524,50	0,368
525,00	0,369
525,50	0,369
526,00	0,369
526,50	0,369
527,00	0,369
527,50	0,369
528,00	0,369
528,50	0,369
529,00	0,368
529,50	0,368
530,00	0,368
530,50	0,367
531,00	0,367
531,50	0,366
532,00	0,366
532,50	0,365
533,00	0,364
533,50	0,364
534,00	0,363
534,50	0,362
535,00	0,361
535,50	0,360
536,00	0,359
536,50	0,358
537,00	0,357
537,50	0,356
538,00	0,355
538,50	0,354
539,00	0,352
539,50	0,351
540,00	0,349
540,50	0,348
541,00	0,346
541,50	0,345
542,00	0,343
542,50	0,342
543,00	0,340
543,50	0,338
544,00	0,337
544,50	0,335
545,00	0,333
545,50	0,331
546,00	0,329
546,50	0,327
547,00	0,326
547,50	0,324
548,00	0,322
548,50	0,320
549,00	0,318
549,50	0,316
550,00	0,314
550,50	0,311
551,00	0,309
551,50	0,307
552,00	0,305
552,50	0,303
553,00	0,301
553,50	0,298
554,00	0,296
554,50	0,294
555,00	0,292
555,50	0,290
556,00	0,287
556,50	0,285
557,00	0,283
557,50	0,280
558,00	0,278
558,50	0,276
559,00	0,273
559,50	0,271
560,00	0,269
